canonical_email,business_name_clean,region,business_size,annual_revenue_band,years_in_operation,years_in_operation_band,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,diagnostic_total_score,pricing_maturity_tier,has_structured_pricing_system,labor_underpriced_flag,profit_target_missing_flag,capacity_pricing_gap_flag,Open Comment,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,business_size_segment,revenue_segment,experience_segment,pricing_method_segment,customer_focus_segment,weakest_driver_segment,region_segment
office@urbanneedleworksshop.example,Urban Needleworks Shop,Unknown,2-5 employees,Under $50k,12,11-20,1,Team/school spiritwear,Mostly consumers,Cost-plus,When costs change,2,3,2,0,1,8,Partial Pricing System,False,False,False,True,Pricing is the hardest part of the business.,1,1,2,1,1,1,0,0,1,0,2-5 employees,Under $100k,Veteran (11-20),Cost-plus,Consumer,Capacity Pressure,Unknown
owner@willowstudiocompany154.example,Willow Studio Company #1549,South,Unknown,Under $50k,2,2-5,1,Decorated apparel,Mixed,Competitor-based,When costs change,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True,We are trying to stop undercharging.,0,0,0,0,0,0,0,0,0,0,Unknown,Under $100k,Newcomer (0-3 yrs),Competitor-based,Mixed,Production Cost,South
owner@mainstreetcustomscompa.example,Main Street Customs Company #1414,South,2-5 employees,$100k-$250k,5,2-5,2,Custom embroidery,Small business/local orgs,Cost-plus,Rarely/never,2,2,2,1,2,9,Partial Pricing System,False,False,False,True,Most customers compare us by stitch count.,1,1,1,1,1,1,0,1,1,1,2-5 employees,$100k-$500k,Established (4-10),Cost-plus,Mixed,Capacity Pressure,South
owner@urbanstitchcogroup.example,Urban Stitch Co. Group,Midwest,2-5 employees,$500k-$1M,20,11-20,10,Contract embroidery,Corporate/commercial,Cost-plus,When costs change,4,4,4,3,3,18,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,2,2,2,2,2,1,1,2,2-5 employees,$500k+,Veteran (11-20),Cost-plus,B2B,Capacity Pressure,Midwest
office4@hoopmonogramscollectiv.example,Hoop Monograms Collective,West,2-5 employees,$50k-$100k,8,6-10,2,Custom embroidery,Contract/B2B,Stitch-count based,When costs change,2,2,1,0,1,6,Pricing Blind Spots,False,False,True,True,I need a better way to account for setup time.,1,1,1,1,1,0,0,0,1,0,2-5 employees,Under $100k,Established (4-10),Stitch-count based,B2B,Capacity Pressure,West
office6@goldenembroideryshop15.example,Golden Embroidery Shop #1594,South,6-10 employees,$500k-$1M,16,11-20,4,Promotional products,Mostly consumers,Hybrid/job costing,Quarterly,4,4,3,3,4,18,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,2,1,1,2,2,2,6-10 employees,$500k+,Veteran (11-20),Hybrid/job costing,Consumer,Intended Profit,South
office@goldenlogoshopstudio16.example,Golden Logo Shop Studio #1683,Northeast,11-25 employees,$500k-$1M,12,11-20,8,Contract embroidery,Contract/B2B,Stitch-count based,Quarterly,2,2,2,1,2,9,Partial Pricing System,False,False,False,True,Most customers compare us by stitch count.,1,1,1,1,1,1,0,1,1,1,11-25 employees,$500k+,Veteran (11-20),Stitch-count based,B2B,Capacity Pressure,Northeast
contact@riverembroiderycollect.example,River Embroidery Collective,Northeast,11-25 employees,$100k-$250k,18,11-20,8,Custom embroidery,Schools/teams,Informal/custom quote,When costs change,4,4,4,3,4,19,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,2,2,1,2,2,2,11-25 employees,$100k-$500k,Veteran (11-20),Informal/custom quote,Mixed,Capacity Pressure,Northeast
office6@urbancustomscompany152.example,Urban Customs Company #1524,South,2-5 employees,$100k-$250k,26,21+,10,Mixed services,Mostly consumers,Informal/custom quote,Unknown,3,4,3,4,4,18,Strong Pricing System,True,False,False,False,,1,2,2,2,1,2,2,2,2,2,2-5 employees,$100k-$500k,Legacy (21+),Informal/custom quote,Consumer,Production Cost,South
sales@cedardecoratedgoodsllc.example,Cedar Decorated Goods Llc,South,Solo owner/operator,Under $50k,6,6-10,1,Decorated apparel,Small business/local orgs,Competitor-based,When costs change,2,0,0,0,0,2,Pricing Blind Spots,False,True,True,True,Pricing is the hardest part of the business.,1,1,0,0,0,0,0,0,0,0,Solo owner/operator,Under $100k,Established (4-10),Competitor-based,Mixed,Real Labor,South
hello@summitstitchcostudio17.example,Summit Stitch Co. Studio #1708,South,2-5 employees,$100k-$250k,22,21+,2,Mixed services,Contract/B2B,Cost-plus,Before every quote,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,2,2,2,2,2,2,2,2-5 employees,$100k-$500k,Legacy (21+),Cost-plus,B2B,Production Cost,South
info@riverdesignscompany.example,River Designs Company,South,Solo owner/operator,Under $50k,16,11-20,5,Mixed services,Contract/B2B,Cost-plus,When costs change,3,4,2,2,4,15,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,1,2,2,2,1,1,1,1,2,2,Solo owner/operator,Under $100k,Veteran (11-20),Cost-plus,B2B,Intended Profit,South
sales@willowlogoshopgroup141.example,Willow Logo Shop Group #1418,Northeast,2-5 employees,$250k-$500k,12,11-20,5,Decorated apparel,Small business/local orgs,Stitch-count based,Quarterly,3,2,1,2,2,10,Partial Pricing System,False,False,True,False,Most customers compare us by stitch count.,2,1,1,1,1,0,1,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,Intended Profit,Northeast
quotes@willowembroiderygroup.example,Willow Embroidery Group,South,11-25 employees,$100k-$250k,10,6-10,10,Contract embroidery,Mostly consumers,Stitch-count based,Quarterly,3,3,3,2,2,13,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,1,2,2,1,2,1,1,1,1,1,11-25 employees,$100k-$500k,Established (4-10),Stitch-count based,Consumer,Capacity Pressure,South
owner@magnoliaworksstudio153.example,Magnolia Works Studio #1539,Northeast,2-5 employees,Unknown,9,6-10,1,Promotional products,Small business/local orgs,Informal/custom quote,Annually,4,2,3,1,2,12,Partial Pricing System,False,False,False,True,,2,2,1,1,1,2,0,1,1,1,2-5 employees,Unknown,Established (4-10),Informal/custom quote,Mixed,Capacity Pressure,Northeast
contact@goldenmonogramscollect.example,Golden Monograms Collective #1672,Northeast,6-10 employees,$100k-$250k,6,6-10,3,Decorated apparel,Mostly consumers,Stitch-count based,Unknown,4,2,1,1,2,10,Partial Pricing System,False,False,True,True,,2,2,1,1,0,1,1,0,1,1,6-10 employees,$100k-$500k,Established (4-10),Stitch-count based,Consumer,Intended Profit,Northeast
office5@stitchcreativecompany1.example,Stitch Creative Company #1425,West,2-5 employees,$250k-$500k,13,11-20,12,Custom embroidery,Mixed,Value-based,Annually,4,4,4,3,3,18,Strong Pricing System,True,False,False,False,,2,2,2,2,2,2,1,2,1,2,2-5 employees,$100k-$500k,Veteran (11-20),Value-based,Mixed,Capacity Pressure,West
office@bobbinneedleworksstudi.example,Bobbin Needleworks Studio #1697,West,Solo owner/operator,Unknown,10,6-10,1,Custom embroidery,Schools/teams,Value-based,Quarterly,3,4,3,4,4,18,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,1,2,2,2,1,2,2,2,2,2,Solo owner/operator,Unknown,Established (4-10),Value-based,Mixed,Production Cost,West
contact0@silverdigitizingstudio.example,Silver Digitizing Studio,South,Solo owner/operator,$50k-$100k,27,21+,1,Contract embroidery,Corporate/commercial,Stitch-count based,When costs change,1,1,1,0,0,3,Pricing Blind Spots,False,True,True,True,Pricing is the hardest part of the business.,1,0,1,0,0,1,0,0,0,0,Solo owner/operator,Under $100k,Legacy (21+),Stitch-count based,B2B,Capacity Pressure,South
office@urbanthreadsshop1614.example,Urban Threads Shop #1614,Northeast,2-5 employees,$100k-$250k,10,6-10,4,Contract embroidery,Mixed,Stitch-count based,Quarterly,4,3,4,3,3,17,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,2,2,1,2,2,2,2,1,2,1,2-5 employees,$100k-$500k,Established (4-10),Stitch-count based,Mixed,Real Labor,Northeast
info@needlewearablesshop173.example,Needle Wearables Shop #1730,West,2-5 employees,$100k-$250k,22,21+,2,Team/school spiritwear,Corporate/commercial,Value-based,Quarterly,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,,2,2,2,2,2,2,2,2,2,2,2-5 employees,$100k-$500k,Legacy (21+),Value-based,B2B,Production Cost,West
hello@urbancreativellc.example,Urban Creative Llc,Northeast,Solo owner/operator,$50k-$100k,0,<2,1,Contract embroidery,Mixed,Competitor-based,When costs change,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True,We are trying to stop undercharging.,0,1,0,0,0,0,0,0,0,0,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Competitor-based,Mixed,Real Labor,Northeast
info@threadstitchcocollecti.example,Thread Stitch Co. Collective,West,6-10 employees,$250k-$500k,29,21+,5,Custom embroidery,Corporate/commercial,Stitch-count based,Before every quote,4,4,3,4,4,19,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,2,2,2,1,2,2,2,2,6-10 employees,$100k-$500k,Legacy (21+),Stitch-count based,B2B,Intended Profit,West
owner@maplethreadsshop.example,Maple Threads Shop,South,2-5 employees,Unknown,13,11-20,5,Promotional products,Mixed,Hybrid/job costing,Annually,4,4,3,3,4,18,Strong Pricing System,True,False,False,False,,2,2,2,2,2,1,2,1,2,2,2-5 employees,Unknown,Veteran (11-20),Hybrid/job costing,Mixed,Intended Profit,South
contact@heritagecustomscollect.example,Heritage Customs Collective #1431,South,2-5 employees,$100k-$250k,0,<2,4,Custom embroidery,Mostly consumers,Stitch-count based,When costs change,4,2,2,2,2,12,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,2,2,1,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Stitch-count based,Consumer,Real Labor,South
quotes1@prairiestitchco1715.example,Prairie Stitch Co. #1715,West,2-5 employees,$100k-$250k,12,11-20,8,Custom embroidery,Small business/local orgs,Hybrid/job costing,Quarterly,4,4,3,4,3,18,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,2,2,2,2,1,2,2,2,2,1,2-5 employees,$100k-$500k,Veteran (11-20),Hybrid/job costing,Mixed,Intended Profit,West
office@mainstreetstudiostudio.example,Main Street Studio Studio #1603,West,Solo owner/operator,$50k-$100k,2,2-5,1,Mixed services,Contract/B2B,Stitch-count based,Annually,3,4,4,3,4,18,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,1,2,2,2,2,2,2,1,2,2,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Stitch-count based,B2B,Production Cost,West
sales@magnoliateamwearllc.example,Magnolia Teamwear Llc,Midwest,2-5 employees,$100k-$250k,9,6-10,2,Custom embroidery,Small business/local orgs,Stitch-count based,Unknown,4,2,1,0,2,9,Partial Pricing System,False,False,True,True,Most customers compare us by stitch count.,2,2,1,1,1,0,0,0,1,1,2-5 employees,$100k-$500k,Established (4-10),Stitch-count based,Mixed,Capacity Pressure,Midwest
office@mainstreetbrandingshop.example,Main Street Branding Shop,Northeast,2-5 employees,$500k-$1M,4,2-5,3,Contract embroidery,Mixed,Stitch-count based,Unknown,4,3,3,2,2,14,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,2,2,2,1,1,2,1,1,1,1,2-5 employees,$500k+,Established (4-10),Stitch-count based,Mixed,Capacity Pressure,Northeast
quotes@threadwearablesshop.example,Thread Wearables Shop,West,2-5 employees,Under $50k,2,2-5,2,Custom embroidery,Contract/B2B,Stitch-count based,When costs change,1,1,0,0,2,4,Pricing Blind Spots,False,True,True,True,Most customers compare us by stitch count.,0,1,1,0,0,0,0,0,1,1,2-5 employees,Under $100k,Newcomer (0-3 yrs),Stitch-count based,B2B,Intended Profit,West
sales@silverbrandinggroup.example,Silver Branding Group,South,Solo owner/operator,Under $50k,9,6-10,1,Custom embroidery,Mostly consumers,Informal/custom quote,Unknown,1,1,1,0,0,3,Pricing Blind Spots,False,True,True,True,,0,1,1,0,0,1,0,0,0,0,Solo owner/operator,Under $100k,Established (4-10),Informal/custom quote,Consumer,Capacity Pressure,South
quotes6@summitthreads.example,Summit Threads,Midwest,2-5 employees,Under $50k,18,11-20,5,Decorated apparel,Contract/B2B,Stitch-count based,When costs change,4,4,4,3,4,19,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,2,2,2,1,2,2,2-5 employees,Under $100k,Veteran (11-20),Stitch-count based,B2B,Capacity Pressure,Midwest
quotes2@sunriselogoshop1534.example,Sunrise Logo Shop #1534,West,Solo owner/operator,$100k-$250k,20,11-20,2,Mixed services,Schools/teams,Stitch-count based,When costs change,4,2,3,2,3,14,Partial Pricing System,False,False,False,False,,2,2,1,1,2,1,1,1,2,1,Solo owner/operator,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,Real Labor,West
info@brightdesigns1367.example,Bright Designs #1367,South,2-5 employees,Prefer not to say,15,11-20,6,Team/school spiritwear,Mixed,Value-based,Quarterly,3,2,1,1,3,10,Partial Pricing System,False,False,True,True,Rush jobs are where we get into trouble.,2,1,1,1,0,1,1,0,2,1,2-5 employees,Unknown,Veteran (11-20),Value-based,Mixed,Intended Profit,South
owner@crownthreadsshop.example,Crown Threads Shop,South,2-5 employees,$50k-$100k,2,2-5,2,Decorated apparel,Contract/B2B,Cost-plus,Annually,3,1,1,1,2,8,Partial Pricing System,False,True,True,True,Rush jobs are where we get into trouble.,1,2,0,1,1,0,0,1,1,1,2-5 employees,Under $100k,Newcomer (0-3 yrs),Cost-plus,B2B,Real Labor,South
quotes@brightprintstitchcolle.example,Bright Print & Stitch Collective,South,6-10 employees,$250k-$500k,4,2-5,8,Contract embroidery,Corporate/commercial,Competitor-based,Annually,3,3,2,2,2,12,Partial Pricing System,False,False,False,False,,1,2,2,1,1,1,1,1,1,1,6-10 employees,$100k-$500k,Established (4-10),Competitor-based,B2B,Intended Profit,South
hello@northstarcreativecompa.example,North Star Creative Company #1514,West,Solo owner/operator,Unknown,6,6-10,1,Custom embroidery,Schools/teams,Hybrid/job costing,Quarterly,3,4,2,3,2,14,Partial Pricing System,False,False,False,False,,2,1,2,2,1,1,2,1,1,1,Solo owner/operator,Unknown,Established (4-10),Hybrid/job costing,Mixed,Intended Profit,West
quotes@needleprintstitchcolle.example,Needle Print & Stitch Collective #1517,Midwest,Solo owner/operator,$100k-$250k,1,<2,3,Custom embroidery,Mostly consumers,Stitch-count based,Unknown,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True,,1,0,0,0,0,0,0,0,0,0,Solo owner/operator,$100k-$500k,Newcomer (0-3 yrs),Stitch-count based,Consumer,Real Labor,Midwest
hello5@cedarteamweargroup.example,Cedar Teamwear Group,South,Solo owner/operator,$250k-$500k,8,6-10,1,Mixed services,Corporate/commercial,Competitor-based,Unknown,1,0,0,0,1,2,Pricing Blind Spots,False,True,True,True,,0,1,0,0,0,0,0,0,0,1,Solo owner/operator,$100k-$500k,Established (4-10),Competitor-based,B2B,Real Labor,South
contact@lakesidemonogramscompa.example,Lakeside Monograms Company,South,11-25 employees,$500k-$1M,20,11-20,15,Mixed services,Mostly consumers,Hybrid/job costing,When costs change,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,2,2,2,2,2,2,2,11-25 employees,$500k+,Veteran (11-20),Hybrid/job costing,Consumer,Production Cost,South
info@maplecreative.example,Maple Creative,South,6-10 employees,Prefer not to say,3,2-5,10,Custom embroidery,Mostly consumers,Cost-plus,Quarterly,4,3,3,4,4,18,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,2,2,2,1,1,2,2,2,2,2,6-10 employees,Unknown,Newcomer (0-3 yrs),Cost-plus,Consumer,Real Labor,South
owner3@heritagethreadsshop163.example,Heritage Threads Shop #1633,South,Unknown,Under $50k,9,6-10,2,Custom embroidery,Contract/B2B,Stitch-count based,When costs change,2,2,2,2,2,10,Partial Pricing System,False,False,False,False,,1,1,1,1,1,1,1,1,1,1,Unknown,Under $100k,Established (4-10),Stitch-count based,B2B,Production Cost,South
hello@mainstreetprintstitchs.example,Main Street Print & Stitch Studio #1438,Midwest,Solo owner/operator,$50k-$100k,13,11-20,1,Promotional products,Corporate/commercial,Cost-plus,Rarely/never,4,4,2,2,3,15,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,2,2,1,1,1,1,1,2,Solo owner/operator,Under $100k,Veteran (11-20),Cost-plus,B2B,Intended Profit,Midwest
sales@mapledigitizingllc.example,Maple Digitizing Llc,West,Solo owner/operator,$250k-$500k,27,21+,3,Contract embroidery,Schools/teams,Unknown,Rarely/never,2,1,1,0,1,5,Pricing Blind Spots,False,True,True,True,Most customers compare us by stitch count.,1,1,1,0,0,1,0,0,0,1,Solo owner/operator,$100k-$500k,Legacy (21+),Unknown,Mixed,Capacity Pressure,West
quotes6@blueridgethreadscompan.example,Blue Ridge Threads Company,West,2-5 employees,Prefer not to say,11,11-20,2,Custom embroidery,Mixed,Competitor-based,Unknown,0,0,0,0,1,1,Pricing Blind Spots,False,True,True,True,We are trying to stop undercharging.,0,0,0,0,0,0,0,0,0,1,2-5 employees,Unknown,Veteran (11-20),Competitor-based,Mixed,Production Cost,West
contact0@brightteamwearstudio.example,Bright Teamwear Studio,Midwest,2-5 employees,Unknown,24,21+,4,Custom embroidery,Contract/B2B,Cost-plus,Quarterly,4,2,4,2,3,15,Strong Pricing System,True,False,False,False,,2,2,1,1,2,2,1,1,1,2,2-5 employees,Unknown,Legacy (21+),Cost-plus,B2B,Real Labor,Midwest
sales@urbanworksstudio1481.example,Urban Works Studio #1481,South,6-10 employees,$100k-$250k,12,11-20,2,Custom embroidery,Small business/local orgs,Stitch-count based,Quarterly,4,4,2,3,2,15,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,2,2,1,1,1,2,1,1,6-10 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,Intended Profit,South
office@cedarcustomscollective.example,Cedar Customs Collective #1415,Midwest,2-5 employees,$500k-$1M,17,11-20,15,Custom embroidery,Contract/B2B,Cost-plus,Quarterly,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,2,2,2,2,2,2,2,2-5 employees,$500k+,Veteran (11-20),Cost-plus,B2B,Production Cost,Midwest
quotes@maplemonograms1604.example,Maple Monograms #1604,South,2-5 employees,$500k-$1M,12,11-20,2,Decorated apparel,Schools/teams,Informal/custom quote,Unknown,2,0,1,0,1,4,Pricing Blind Spots,False,True,True,True,We are trying to stop undercharging.,1,1,0,0,0,1,0,0,1,0,2-5 employees,$500k+,Veteran (11-20),Informal/custom quote,Mixed,Real Labor,South
owner@northstarstitchcogroup.example,North Star Stitch Co. Group #1669,West,26+ employees,$100k-$250k,20,11-20,20,Decorated apparel,Contract/B2B,Cost-plus,Unknown,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,2,2,2,2,2,2,2,2,26+ employees,$100k-$500k,Veteran (11-20),Cost-plus,B2B,Production Cost,West
hello0@ironapparelgroup.example,Iron Apparel Group,Northeast,2-5 employees,$250k-$500k,26,21+,12,Promotional products,Small business/local orgs,Cost-plus,Annually,4,3,4,3,4,18,Strong Pricing System,True,False,False,False,,2,2,2,1,2,2,2,1,2,2,2-5 employees,$100k-$500k,Legacy (21+),Cost-plus,Mixed,Real Labor,Northeast
owner2@maplestudiocollective.example,Maple Studio Collective,West,2-5 employees,$500k-$1M,10,6-10,3,Promotional products,Mostly consumers,Unknown,Annually,1,2,1,2,2,8,Partial Pricing System,False,False,True,False,Pricing is the hardest part of the business.,0,1,1,1,1,0,1,1,1,1,2-5 employees,$500k+,Established (4-10),Unknown,Consumer,Production Cost,West
office@prairiedecoratedgoods.example,Prairie Decorated Goods,South,Solo owner/operator,$100k-$250k,2,2-5,1,Team/school spiritwear,Mostly consumers,Competitor-based,Unknown,2,1,1,0,2,6,Pricing Blind Spots,False,True,True,True,Most customers compare us by stitch count.,1,1,0,1,0,1,0,0,1,1,Solo owner/operator,$100k-$500k,Newcomer (0-3 yrs),Competitor-based,Consumer,Capacity Pressure,South
owner@bobbinteamwearstudio.example,Bobbin Teamwear Studio,South,2-5 employees,$100k-$250k,15,11-20,2,Mixed services,Contract/B2B,Unknown,When costs change,2,2,2,1,1,8,Partial Pricing System,False,False,False,True,Most customers compare us by stitch count.,1,1,1,1,1,1,0,1,1,0,2-5 employees,$100k-$500k,Veteran (11-20),Unknown,B2B,Capacity Pressure,South
office0@needlemonogramsllc.example,Needle Monograms Llc,West,2-5 employees,$500k-$1M,27,21+,5,Decorated apparel,Contract/B2B,Stitch-count based,Annually,1,2,0,1,0,4,Pricing Blind Spots,False,False,True,True,I need a better way to account for setup time.,1,0,1,1,0,0,1,0,0,0,2-5 employees,$500k+,Legacy (21+),Stitch-count based,B2B,Intended Profit,West
quotes6@prairielogoshopllc.example,Prairie Logo Shop Llc,Northeast,2-5 employees,$100k-$250k,12,11-20,4,Custom embroidery,Small business/local orgs,Informal/custom quote,When costs change,3,2,2,2,2,11,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,2,1,1,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Informal/custom quote,Mixed,Real Labor,Northeast
sales@silverthreadsllc1373.example,Silver Threads Llc #1373,South,2-5 employees,$250k-$500k,21,21+,8,Mixed services,Corporate/commercial,Value-based,Annually,4,4,2,4,4,18,Strong Pricing System,True,False,False,False,,2,2,2,2,1,1,2,2,2,2,2-5 employees,$100k-$500k,Legacy (21+),Value-based,B2B,Intended Profit,South
quotes@mainstreetdecoratedgoo.example,Main Street Decorated Goods Llc,West,6-10 employees,$500k-$1M,11,11-20,6,Custom embroidery,Mostly consumers,Cost-plus,Quarterly,4,4,3,4,3,18,Strong Pricing System,True,False,False,False,,2,2,2,2,2,1,2,2,2,1,6-10 employees,$500k+,Veteran (11-20),Cost-plus,Consumer,Intended Profit,West
owner0@hoopstudiollc.example,Hoop Studio Llc,West,2-5 employees,Unknown,2,2-5,15,Custom embroidery,Small business/local orgs,Stitch-count based,Rarely/never,3,2,2,2,1,10,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,1,2,1,1,1,1,1,1,1,0,2-5 employees,Unknown,Newcomer (0-3 yrs),Stitch-count based,Mixed,End Customer Value,West
contact1@summitneedleworksllc13.example,Summit Needleworks Llc #1365,Unknown,Solo owner/operator,Under $50k,4,2-5,2,Mixed services,Unknown,Cost-plus,Rarely/never,2,2,1,2,1,8,Partial Pricing System,False,False,True,False,Pricing is the hardest part of the business.,1,1,1,1,1,0,1,1,1,0,Solo owner/operator,Under $100k,Established (4-10),Cost-plus,Mixed,Intended Profit,Unknown
sales@mapleapparelllc.example,Maple Apparel Llc,South,2-5 employees,Under $50k,8,6-10,5,Custom embroidery,Mixed,Cost-plus,Unknown,3,2,2,2,4,13,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,2,1,1,1,1,1,1,1,2,2,2-5 employees,Under $100k,Established (4-10),Cost-plus,Mixed,Real Labor,South
sales@maplecreativellc1632.example,Maple Creative Llc #1632,Northeast,2-5 employees,$100k-$250k,0,<2,2,Custom embroidery,Mixed,Cost-plus,Unknown,3,3,3,4,2,15,Strong Pricing System,True,False,False,False,,2,1,1,2,2,1,2,2,1,1,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Cost-plus,Mixed,End Customer Value,Northeast
contact@magnolialogoshopgroup1.example,Magnolia Logo Shop Group #1515,South,Unknown,Under $50k,15,11-20,1,Promotional products,Small business/local orgs,Cost-plus,Annually,4,3,2,2,3,14,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,2,2,1,2,1,1,1,1,1,2,Unknown,Under $100k,Veteran (11-20),Cost-plus,Mixed,Intended Profit,South
quotes@redbarncustomsgroup.example,Red Barn Customs Group,Northeast,2-5 employees,$250k-$500k,20,11-20,2,Mixed services,Small business/local orgs,Unknown,Quarterly,4,2,2,1,2,11,Partial Pricing System,False,False,False,True,Pricing is the hardest part of the business.,2,2,1,1,1,1,1,0,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Unknown,Mixed,Capacity Pressure,Northeast
owner@urbanthreadscompany.example,Urban Threads Company,Midwest,Solo owner/operator,$100k-$250k,6,6-10,2,Contract embroidery,Contract/B2B,Stitch-count based,When costs change,2,2,1,2,1,8,Partial Pricing System,False,False,True,False,Rush jobs are where we get into trouble.,1,1,1,1,0,1,1,1,1,0,Solo owner/operator,$100k-$500k,Established (4-10),Stitch-count based,B2B,Intended Profit,Midwest
sales1@magnoliacustoms1666.example,Magnolia Customs #1666,West,2-5 employees,$100k-$250k,20,11-20,4,Mixed services,Mixed,Cost-plus,Annually,4,4,4,3,4,19,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,2,2,2,1,2,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Capacity Pressure,West
owner@hooplogoshopshop.example,Hoop Logo Shop Shop,Northeast,6-10 employees,$100k-$250k,24,21+,6,Contract embroidery,Mixed,Stitch-count based,When costs change,4,3,4,3,4,18,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,1,2,2,2,1,2,2,2,6-10 employees,$100k-$500k,Legacy (21+),Stitch-count based,Mixed,Real Labor,Northeast
office@northstarworksshop1567.example,North Star Works Shop #1567,West,2-5 employees,$500k-$1M,20,11-20,6,Decorated apparel,Schools/teams,Cost-plus,Before every quote,3,3,4,4,4,18,Strong Pricing System,True,False,False,False,,1,2,1,2,2,2,2,2,2,2,2-5 employees,$500k+,Veteran (11-20),Cost-plus,Mixed,Production Cost,West
office@blueridgedecoratedgood.example,Blue Ridge Decorated Goods Group #1405,South,6-10 employees,$500k-$1M,10,6-10,10,Custom embroidery,Mostly consumers,Stitch-count based,Annually,3,2,2,1,2,10,Partial Pricing System,False,False,False,True,Pricing is the hardest part of the business.,2,1,1,1,1,1,1,0,1,1,6-10 employees,$500k+,Established (4-10),Stitch-count based,Consumer,Capacity Pressure,South
owner1@willowstudiogroup.example,Willow Studio Group,Northeast,Solo owner/operator,$100k-$250k,0,<2,2,Mixed services,Mixed,Informal/custom quote,When costs change,2,2,1,1,2,8,Partial Pricing System,False,False,True,True,,1,1,1,1,1,0,1,0,1,1,Solo owner/operator,$100k-$500k,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Intended Profit,Northeast
sales@needledigitizingcollec.example,Needle Digitizing Collective #1429,Northeast,Solo owner/operator,$500k-$1M,22,21+,2,Mixed services,Small business/local orgs,Stitch-count based,Unknown,3,2,3,2,2,12,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,1,2,1,1,2,1,1,1,1,1,Solo owner/operator,$500k+,Legacy (21+),Stitch-count based,Mixed,Real Labor,Northeast
owner3@urbanembroideryshop167.example,Urban Embroidery Shop #1675,Northeast,Solo owner/operator,Under $50k,5,2-5,2,Mixed services,Mixed,Cost-plus,When costs change,4,3,4,3,4,18,Strong Pricing System,True,False,False,False,,2,2,1,2,2,2,1,2,2,2,Solo owner/operator,Under $100k,Established (4-10),Cost-plus,Mixed,Real Labor,Northeast
info5@redbarnworksshop.example,Red Barn Works Shop,Northeast,6-10 employees,$500k-$1M,16,11-20,3,Custom embroidery,Mostly consumers,Cost-plus,Annually,3,2,2,2,1,10,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,2,1,1,1,1,1,1,1,0,1,6-10 employees,$500k+,Veteran (11-20),Cost-plus,Consumer,End Customer Value,Northeast
