canonical_email,business_name_clean_diag,region_diag,business_size_diag,annual_revenue_band_diag,years_in_operation_diag,years_in_operation_band,machine_count_diag,primary_business_model_diag,customer_mix,current_pricing_method,price_review_frequency_diag,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,diagnostic_total_score,pricing_maturity_tier,has_structured_pricing_system,labor_underpriced_flag,profit_target_missing_flag,capacity_pricing_gap_flag,Open Comment,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,business_size_segment,revenue_segment,experience_segment,pricing_method_segment,customer_focus_segment,weakest_driver_segment,region_segment,business_name_clean_bench,region_bench,business_size_bench,annual_revenue_band_bench,years_in_operation_bench,machine_count_bench,primary_business_model_bench,primary_pricing_method,hourly_rate_estimate_usd,stitch_rate_per_1000,minimum_order_quantity,minimum_job_charge_usd,charges_setup_fee,setup_fee_policy,charges_rush_fee,rush_fee_policy,discounting_frequency,price_review_frequency_bench,confidence_score_1_5,pricing_confidence_level,perceived_profitability,plans_price_increase_2026,Benchmark open comment
sales@magnoliateamwearllc.example,Magnolia Teamwear Llc,Midwest,2-5 employees,$100k-$250k,9,6-10,2,Custom embroidery,Small business/local orgs,Stitch-count based,Unknown,4,2,1,0,2,9,Partial Pricing System,False,False,True,True,Most customers compare us by stitch count.,2,2,1,1,1,0,0,0,1,1,2-5 employees,$100k-$500k,Established (4-10),Stitch-count based,Mixed,Capacity Pressure,Midwest,Magnolia Teamwear Llc,Midwest,2-5 employees,$100k-$250k,9.0,2.0,Custom embroidery,Stitch-count based,102.0,1.26,,,True,Always/standard,True,Published percentage/flat fee,Never,Unknown,,Unknown,Good,False,I worry about losing repeat customers.
office@cedarcustomscollective.example,Cedar Customs Collective #1415,Midwest,2-5 employees,$500k-$1M,17,11-20,15,Custom embroidery,Contract/B2B,Cost-plus,Quarterly,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,2,2,2,2,2,2,2,2-5 employees,$500k+,Veteran (11-20),Cost-plus,B2B,Production Cost,Midwest,Cedar Customs Collective #1415,Midwest,2-5 employees,$500k-$1M,17.0,15.0,Custom embroidery,Cost-plus,158.0,1.53,12.0,,True,Always/standard,False,No,Frequently,Quarterly,5.0,Very confident,Good,False,
hello0@ironapparelgroup.example,Iron Apparel Group,Northeast,2-5 employees,$250k-$500k,26,21+,12,Promotional products,Small business/local orgs,Cost-plus,Annually,4,3,4,3,4,18,Strong Pricing System,True,False,False,False,,2,2,2,1,2,2,2,1,2,2,2-5 employees,$100k-$500k,Legacy (21+),Cost-plus,Mixed,Real Labor,Northeast,Iron Apparel Group,Northeast,11-25 employees,$250k-$500k,26.0,10.0,Promotional products,Cost-plus,112.0,1.63,12.0,,False,No,True,Published percentage/flat fee,Rarely,Annually,2.0,Slightly confident,Good,False,
owner2@maplestudiocollective.example,Maple Studio Collective,West,2-5 employees,$500k-$1M,10,6-10,3,Promotional products,Mostly consumers,Unknown,Annually,1,2,1,2,2,8,Partial Pricing System,False,False,True,False,Pricing is the hardest part of the business.,0,1,1,1,1,0,1,1,1,1,2-5 employees,$500k+,Established (4-10),Unknown,Consumer,Production Cost,West,Maple Studio Collective,West,2-5 employees,$500k-$1M,10.0,3.0,Promotional products,Informal/custom quote,,0.9,,50.0,True,Sometimes/depends,False,Case-by-case,Sometimes,Annually,3.0,Somewhat confident,Acceptable,False,Minimums changed everything for us.
quotes@mainstreetdecoratedgoo.example,Main Street Decorated Goods Llc,West,6-10 employees,$500k-$1M,11,11-20,6,Custom embroidery,Mostly consumers,Cost-plus,Quarterly,4,4,3,4,3,18,Strong Pricing System,True,False,False,False,,2,2,2,2,2,1,2,2,2,1,6-10 employees,$500k+,Veteran (11-20),Cost-plus,Consumer,Intended Profit,West,Main Street Decorated Goods Llc,West,6-10 employees,$500k-$1M,11.0,6.0,Unknown,Cost-plus,105.0,1.84,,,True,Always/standard,True,Published percentage/flat fee,Rarely,Quarterly,4.0,Confident,Variable,False,I worry about losing repeat customers.
sales1@magnoliacustoms1666.example,Magnolia Customs #1666,West,2-5 employees,$100k-$250k,20,11-20,4,Mixed services,Mixed,Cost-plus,Annually,4,4,4,3,4,19,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,2,2,2,1,2,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Capacity Pressure,West,Magnolia Customs #1666,West,2-5 employees,$100k-$250k,20.0,4.0,Mixed services,Cost-plus,122.0,1.44,,,True,Always/standard,False,No,Sometimes,Annually,4.0,Confident,Struggling,False,
info5@redbarnworksshop.example,Red Barn Works Shop,Northeast,6-10 employees,$500k-$1M,16,11-20,3,Custom embroidery,Mostly consumers,Cost-plus,Annually,3,2,2,2,1,10,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,2,1,1,1,1,1,1,1,0,1,6-10 employees,$500k+,Veteran (11-20),Cost-plus,Consumer,End Customer Value,Northeast,Red Barn Works Shop,Northeast,6-10 employees,$500k-$1M,16.0,3.0,Custom embroidery,Cost-plus,100.0,1.13,12.0,,True,Sometimes/depends,False,No,Frequently,Annually,4.0,Confident,Good,False,We need a better price sheet.
owner@brightdecoratedgoodssh.example,Bright Decorated Goods Shop,South,2-5 employees,$250k-$500k,6,6-10,2,Decorated apparel,Schools/teams,Cost-plus,Annually,4,3,3,2,3,15,Strong Pricing System,True,False,False,False,,2,2,1,2,1,2,1,1,1,2,2-5 employees,$100k-$500k,Established (4-10),Cost-plus,Mixed,Capacity Pressure,South,Bright Decorated Goods Shop,South,2-5 employees,$250k-$500k,6.0,2.0,Decorated apparel,Hybrid/job costing,128.0,1.8,,50.0,False,No,True,Published percentage/flat fee,Frequently,Annually,3.0,Somewhat confident,Very strong,False,We need a better price sheet.
sales@magnoliaworkscollectiv.example,Magnolia Works Collective #1479,West,Solo owner/operator,$250k-$500k,21,21+,2,Mixed services,Mixed,Unknown,When costs change,3,2,2,2,2,11,Partial Pricing System,False,False,False,False,,1,2,1,1,1,1,1,1,1,1,Solo owner/operator,$100k-$500k,Legacy (21+),Unknown,Mixed,Real Labor,West,Magnolia Works Collective #1479,West,Unknown,$250k-$500k,21.0,2.0,Mixed services,Unknown,89.0,1.01,,,True,Sometimes/depends,False,Case-by-case,Frequently,When costs change,3.0,Somewhat confident,Good,True,Customers are more price-sensitive this year.
info@crowndesignscollective.example,Crown Designs Collective #1584,South,Solo owner/operator,Under $50k,0,<2,1,Mixed services,Small business/local orgs,Competitor-based,Annually,2,0,2,0,1,5,Pricing Blind Spots,False,True,False,True,We are trying to stop undercharging.,1,1,0,0,1,1,0,0,1,0,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Competitor-based,Mixed,Real Labor,South,Crown Designs Collective #1584,South,Solo owner/operator,Under $50k,0.0,1.0,Mixed services,Competitor-based,,1.27,6.0,,False,No,False,No,Never,Annually,3.0,Somewhat confident,Acceptable,False,
info@hoopdigitizingcollecti.example,Hoop Digitizing Collective,Northeast,Unknown,$100k-$250k,7,6-10,3,Mixed services,Contract/B2B,Informal/custom quote,Unknown,1,0,0,0,1,2,Pricing Blind Spots,False,True,True,True,,1,0,0,0,0,0,0,0,1,0,Unknown,$100k-$500k,Established (4-10),Informal/custom quote,B2B,Real Labor,Northeast,Hoop Digitizing Collective,Northeast,Solo owner/operator,$100k-$250k,7.0,3.0,Mixed services,Informal/custom quote,53.0,1.05,,,False,No,False,Case-by-case,Frequently,Unknown,1.0,Not confident,Variable,False,We need a better price sheet.
contact@mainstreetdecoratedgoo.example,Main Street Decorated Goods Shop #1537,South,Solo owner/operator,Prefer not to say,20,11-20,1,Custom embroidery,Mostly consumers,Cost-plus,Annually,3,3,3,2,3,14,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,1,2,1,2,1,2,1,1,1,2,Solo owner/operator,Unknown,Veteran (11-20),Cost-plus,Consumer,Capacity Pressure,South,Main Street Decorated Goods Shop #1537,South,Solo owner/operator,$50k-$100k,20.0,1.0,Custom embroidery,Cost-plus,101.0,1.19,,,False,No,False,Case-by-case,Frequently,Annually,4.0,Confident,Variable,False,
info0@northstarteamwearllc16.example,North Star Teamwear Llc #1665,West,Solo owner/operator,$100k-$250k,20,11-20,1,Decorated apparel,Small business/local orgs,Value-based,Annually,4,3,2,3,3,15,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,1,2,1,1,1,2,1,2,Solo owner/operator,$100k-$500k,Veteran (11-20),Value-based,Mixed,Intended Profit,West,North Star Teamwear Llc #1665,West,Solo owner/operator,$100k-$250k,20.0,1.0,Decorated apparel,Informal/custom quote,86.0,,,,True,Always/standard,False,No,Rarely,Annually,5.0,Very confident,Very strong,False,Minimums changed everything for us.
owner6@northstarworksshop1727.example,North Star Works Shop #1727,Northeast,2-5 employees,$100k-$250k,8,6-10,3,Decorated apparel,Small business/local orgs,Cost-plus,When costs change,3,3,3,2,4,15,Strong Pricing System,True,False,False,False,,2,1,2,1,2,1,1,1,2,2,2-5 employees,$100k-$500k,Established (4-10),Cost-plus,Mixed,Capacity Pressure,Northeast,North Star Works Shop #1727,Northeast,2-5 employees,$100k-$250k,8.0,3.0,Decorated apparel,Cost-plus,146.0,0.88,,,True,Always/standard,True,Published percentage/flat fee,Rarely,When costs change,3.0,Somewhat confident,Acceptable,False,
hello0@magnoliacustomsshop.example,Magnolia Customs Shop,Northeast,Solo owner/operator,Under $50k,1,<2,1,Custom embroidery,Schools/teams,Informal/custom quote,Before every quote,0,0,0,0,1,1,Pricing Blind Spots,False,True,True,True,Pricing is the hardest part of the business.,0,0,0,0,0,0,0,0,0,1,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Production Cost,Northeast,Magnolia Customs Shop,Northeast,Solo owner/operator,Unknown,1.0,1.0,Custom embroidery,Informal/custom quote,64.0,0.77,12.0,,False,No,False,No,Frequently,When costs change,2.0,Slightly confident,Good,False,Minimums changed everything for us.
office1@silverteamwearllc.example,Silver Teamwear Llc,Northeast,2-5 employees,Prefer not to say,32,21+,4,Custom embroidery,Schools/teams,Cost-plus,Quarterly,4,3,4,4,2,17,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,1,2,2,2,2,2,1,1,2-5 employees,Unknown,Legacy (21+),Cost-plus,Mixed,End Customer Value,Northeast,Silver Teamwear Llc,Northeast,2-5 employees,$500k-$1M,32.0,4.0,Custom embroidery,Hybrid/job costing,137.0,1.53,1.0,,True,Always/standard,True,Published percentage/flat fee,Rarely,Quarterly,1.0,Not confident,Good,True,
hello2@mapledecoratedgoodsstu.example,Maple Decorated Goods Studio #1394,South,6-10 employees,Unknown,0,<2,5,Custom embroidery,Small business/local orgs,Cost-plus,When costs change,2,2,1,1,2,8,Partial Pricing System,False,False,True,True,,1,1,1,1,1,0,0,1,1,1,6-10 employees,Unknown,Newcomer (0-3 yrs),Cost-plus,Mixed,Intended Profit,South,Maple Decorated Goods Studio #1394,South,6-10 employees,$100k-$250k,0.0,5.0,Custom embroidery,Cost-plus,75.0,1.37,6.0,,False,No,False,No,Rarely,When costs change,4.0,Confident,Struggling,True,Minimums changed everything for us.
office@goldenteamwearllc.example,Golden Teamwear Llc,Midwest,Solo owner/operator,$50k-$100k,22,21+,1,Custom embroidery,Schools/teams,Competitor-based,Rarely/never,2,2,1,1,2,8,Partial Pricing System,False,False,True,True,I need a better way to account for setup time.,1,1,1,1,0,1,1,0,1,1,Solo owner/operator,Under $100k,Legacy (21+),Competitor-based,Mixed,Intended Profit,Midwest,Golden Teamwear Llc,Midwest,Solo owner/operator,$50k-$100k,22.0,1.0,Custom embroidery,Competitor-based,99.0,1.03,,,False,No,False,No,Sometimes,Unknown,4.0,Confident,Acceptable,False,We need a better price sheet.
office@threadteamwearllc.example,Thread Teamwear Llc,Canada/Other,6-10 employees,Unknown,20,11-20,8,Custom embroidery,Schools/teams,Competitor-based,When costs change,4,2,2,2,3,13,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,2,2,1,1,1,1,1,1,2,1,6-10 employees,Unknown,Veteran (11-20),Competitor-based,Mixed,Real Labor,Canada/Other,Thread Teamwear Llc,Canada/Other,6-10 employees,$100k-$250k,20.0,8.0,Custom embroidery,Competitor-based,97.0,1.34,,,False,No,True,Published percentage/flat fee,Rarely,When costs change,4.0,Confident,Acceptable,False,We need a better price sheet.
quotes@silverwearablesshop.example,Silver Wearables Shop,South,Solo owner/operator,Under $50k,0,<2,2,Custom embroidery,Mixed,Value-based,When costs change,2,2,0,0,2,6,Pricing Blind Spots,False,False,True,True,,1,1,1,1,0,0,0,0,1,1,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Value-based,Mixed,Intended Profit,South,Silver Wearables Shop,South,Unknown,Under $50k,0.0,2.0,Custom embroidery,Value-based,85.0,,,100.0,True,Always/standard,False,Case-by-case,Frequently,When costs change,1.0,Not confident,Variable,False,
quotes@hoopdigitizinggroup.example,Hoop Digitizing Group,Canada/Other,Solo owner/operator,Under $50k,4,2-5,2,Custom embroidery,Mostly consumers,Cost-plus,Annually,4,2,2,3,4,15,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,1,1,1,1,1,2,2,2,Solo owner/operator,Under $100k,Established (4-10),Cost-plus,Consumer,Real Labor,Canada/Other,Hoop Digitizing Group,Canada/Other,Unknown,Under $50k,4.0,2.0,Custom embroidery,Hybrid/job costing,92.0,1.81,,,True,Always/standard,True,Published percentage/flat fee,Sometimes,Annually,5.0,Very confident,Variable,False,We need a better price sheet.
info@goldenlogoshopcompany1.example,Golden Logo Shop Company #1575,South,2-5 employees,$250k-$500k,10,6-10,12,Team/school spiritwear,Mostly consumers,Unknown,Annually,4,3,2,1,3,13,Partial Pricing System,False,False,False,True,Pricing is the hardest part of the business.,2,2,1,2,1,1,0,1,1,2,2-5 employees,$100k-$500k,Established (4-10),Unknown,Consumer,Capacity Pressure,South,Golden Logo Shop Company #1575,Unknown,11-25 employees,$250k-$500k,10.0,12.0,Team/school spiritwear,Unknown,134.0,,,100.0,True,Sometimes/depends,False,No,Rarely,Annually,3.0,Somewhat confident,Good,True,Customers are more price-sensitive this year.
quotes@heritageteamweargroup1.example,Heritage Teamwear Group #1484,South,Solo owner/operator,Under $50k,1,<2,3,Promotional products,Corporate/commercial,Hybrid/job costing,Quarterly,4,2,3,2,3,14,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,2,2,1,1,2,1,2,0,1,2,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Hybrid/job costing,B2B,Real Labor,South,Heritage Teamwear Group #1484,South,Unknown,Under $50k,1.0,3.0,Promotional products,Hybrid/job costing,41.0,1.05,12.0,,True,Sometimes/depends,False,No,Rarely,Quarterly,3.0,Somewhat confident,Good,True,
quotes@willowstudiostudio1403.example,Willow Studio Studio #1403,Northeast,6-10 employees,$100k-$250k,0,<2,2,Team/school spiritwear,Mixed,Informal/custom quote,Rarely/never,4,2,2,2,2,12,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,2,2,1,1,1,1,1,1,1,1,6-10 employees,$100k-$500k,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Real Labor,Northeast,Willow Studio Studio #1403,Northeast,6-10 employees,$100k-$250k,0.0,2.0,Team/school spiritwear,Unknown,,1.34,,100.0,False,No,False,Case-by-case,Frequently,Rarely/never,3.0,Somewhat confident,Unknown,True,Customers are more price-sensitive this year.
contact@riverlogoshopllc1548.example,River Logo Shop Llc #1548,South,Unknown,$50k-$100k,9,6-10,1,Decorated apparel,Mostly consumers,Cost-plus,Quarterly,1,0,1,0,1,3,Pricing Blind Spots,False,True,True,True,,1,0,0,0,0,1,0,0,0,1,Unknown,Under $100k,Established (4-10),Cost-plus,Consumer,Real Labor,South,River Logo Shop Llc #1548,South,Unknown,$50k-$100k,9.0,1.0,Decorated apparel,Cost-plus,96.0,1.4,1.0,,True,Always/standard,False,Case-by-case,Frequently,Quarterly,3.0,Somewhat confident,Unknown,False,
office4@prairiethreadsllc1648.example,Prairie Threads Llc #1648,Northeast,2-5 employees,Under $50k,12,11-20,1,Custom embroidery,Contract/B2B,Cost-plus,Quarterly,3,2,3,3,4,15,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,1,1,1,1,2,1,2,2,2,2-5 employees,Under $100k,Veteran (11-20),Cost-plus,B2B,Real Labor,Northeast,Prairie Threads Llc #1648,Northeast,2-5 employees,Unknown,12.0,1.0,Custom embroidery,Hybrid/job costing,128.0,1.41,,,True,Sometimes/depends,False,No,Sometimes,Quarterly,3.0,Somewhat confident,Acceptable,False,
office@hooplogoshopgroup.example,Hoop Logo Shop Group,West,2-5 employees,$100k-$250k,12,11-20,2,Decorated apparel,Mostly consumers,Unknown,Rarely/never,4,4,2,2,2,14,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,2,2,2,2,1,1,1,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Unknown,Consumer,Intended Profit,West,Hoop Logo Shop Group,West,2-5 employees,$100k-$250k,12.0,2.0,Decorated apparel,Unknown,102.0,1.24,,,True,Always/standard,True,Published percentage/flat fee,Sometimes,Rarely/never,4.0,Confident,Struggling,True,I worry about losing repeat customers.
info@threadstitchcollc1573.example,Thread Stitch Co. Llc #1573,Canada/Other,Solo owner/operator,$250k-$500k,20,11-20,1,Custom embroidery,Corporate/commercial,Stitch-count based,Annually,2,3,2,2,2,11,Partial Pricing System,False,False,False,False,,1,1,2,1,1,1,1,1,1,1,Solo owner/operator,$100k-$500k,Veteran (11-20),Stitch-count based,B2B,Production Cost,Canada/Other,Thread Stitch Co. Llc #1573,Canada/Other,Solo owner/operator,$250k-$500k,31.0,1.0,Custom embroidery,Stitch-count based,78.0,1.45,24.0,,False,No,False,No,Rarely,Annually,3.0,Somewhat confident,Acceptable,False,
hello@lakesidedesignsstudio.example,Lakeside Designs Studio,South,2-5 employees,$250k-$500k,20,11-20,3,Custom embroidery,Mostly consumers,Value-based,When costs change,4,2,4,4,4,18,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,2,2,1,1,2,2,2,2,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Value-based,Consumer,Real Labor,South,Lakeside Designs Studio,South,2-5 employees,$250k-$500k,20.0,3.0,Custom embroidery,Value-based,116.0,,,,False,No,True,Published percentage/flat fee,Rarely,Before every quote,5.0,Very confident,Variable,False,Customers are more price-sensitive this year.
office6@ironmonogramscompany13.example,Iron Monograms Company #1370,West,2-5 employees,$50k-$100k,6,6-10,4,Contract embroidery,Corporate/commercial,Stitch-count based,Annually,3,2,2,2,3,12,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,2,1,1,1,1,1,0,2,2,1,2-5 employees,Under $100k,Established (4-10),Stitch-count based,B2B,Real Labor,West,Iron Monograms Company #1370,West,2-5 employees,$50k-$100k,6.0,4.0,Contract embroidery,Stitch-count based,114.0,1.75,,150.0,True,Always/standard,True,Published percentage/flat fee,Never,Annually,4.0,Confident,Very strong,False,I worry about losing repeat customers.
hello@stitchteamwearcollecti.example,Stitch Teamwear Collective #1371,Midwest,2-5 employees,$500k-$1M,12,11-20,4,Custom embroidery,Small business/local orgs,Cost-plus,When costs change,3,2,2,2,3,12,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,2,1,1,1,1,1,1,1,2,1,2-5 employees,$500k+,Veteran (11-20),Cost-plus,Mixed,Real Labor,Midwest,Stitch Teamwear Collective #1371,Midwest,2-5 employees,$500k-$1M,12.0,4.0,Custom embroidery,Cost-plus,65.0,1.2,,35.0,True,Always/standard,True,Published percentage/flat fee,Rarely,When costs change,3.0,Somewhat confident,Very strong,False,We need a better price sheet.
owner@stitchprintstitchshop1.example,Stitch Print & Stitch Shop #1694,West,Solo owner/operator,$50k-$100k,5,2-5,1,Custom embroidery,Mixed,Hybrid/job costing,Quarterly,4,2,2,3,3,14,Partial Pricing System,False,False,False,False,,2,2,1,1,1,1,2,1,2,1,Solo owner/operator,Under $100k,Established (4-10),Hybrid/job costing,Mixed,Real Labor,West,Stitch Print & Stitch Shop #1694,West,Solo owner/operator,$50k-$100k,5.0,1.0,Custom embroidery,Stitch-count based,90.0,1.39,,,True,Sometimes/depends,False,No,Never,Quarterly,4.0,Confident,Very strong,False,Minimums changed everything for us.
owner@redbarnthreadsshop.example,Red Barn Threads Shop,West,Solo owner/operator,Under $50k,0,<2,1,Contract embroidery,Mixed,Stitch-count based,Rarely/never,2,1,0,0,0,3,Pricing Blind Spots,False,True,True,True,Most customers compare us by stitch count.,1,1,0,1,0,0,0,0,0,0,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Stitch-count based,Mixed,Intended Profit,West,Red Barn Threads Shop,West,Unknown,Under $50k,0.0,1.0,Contract embroidery,Stitch-count based,42.0,1.29,,,False,No,False,No,Frequently,Rarely/never,5.0,Very confident,Variable,False,Minimums changed everything for us.
office@heritagestitchcoshop16.example,Heritage Stitch Co. Shop #1619,West,2-5 employees,$100k-$250k,12,11-20,2,Decorated apparel,Schools/teams,Stitch-count based,Annually,4,4,4,4,3,19,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,2,2,2,2,1,2,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,End Customer Value,West,Heritage Stitch Co. Shop #1619,West,2-5 employees,$100k-$250k,12.0,2.0,Decorated apparel,Cost-plus,107.0,1.74,,150.0,False,No,False,No,Sometimes,Annually,4.0,Confident,Acceptable,False,Minimums changed everything for us.
hello@crowndesignscompany.example,Crown Designs Company,West,6-10 employees,$500k-$1M,19,11-20,6,Mixed services,Schools/teams,Competitor-based,Rarely/never,3,2,1,1,2,9,Partial Pricing System,False,False,True,True,Rush jobs are where we get into trouble.,2,1,1,1,1,0,1,0,1,1,6-10 employees,$500k+,Veteran (11-20),Competitor-based,Mixed,Intended Profit,West,Crown Designs Company,West,6-10 employees,$500k-$1M,19.0,6.0,Mixed services,Competitor-based,116.0,1.06,,35.0,True,Sometimes/depends,True,Published percentage/flat fee,Sometimes,Rarely/never,4.0,Confident,Struggling,True,Minimums changed everything for us.
quotes@northstardecoratedgood.example,North Star Decorated Goods Shop #1507,Northeast,Solo owner/operator,$50k-$100k,16,11-20,1,Promotional products,Contract/B2B,Stitch-count based,Rarely/never,2,2,2,1,2,9,Partial Pricing System,False,False,False,True,Pricing is the hardest part of the business.,1,1,1,1,0,2,0,1,1,1,Solo owner/operator,Under $100k,Veteran (11-20),Stitch-count based,B2B,Capacity Pressure,Northeast,North Star Decorated Goods Shop #1507,Northeast,Unknown,Unknown,16.0,1.0,Promotional products,Stitch-count based,,1.44,,25.0,True,Always/standard,False,No,Sometimes,Rarely/never,1.0,Not confident,Variable,False,Minimums changed everything for us.
quotes@mapledigitizing.example,Maple Digitizing,Midwest,Unknown,Prefer not to say,1,<2,2,Contract embroidery,Mixed,Unknown,Quarterly,3,3,2,1,3,12,Partial Pricing System,False,False,False,True,We are trying to stop undercharging.,1,2,1,2,1,1,0,1,1,2,Unknown,Unknown,Newcomer (0-3 yrs),Unknown,Mixed,Capacity Pressure,Midwest,Maple Digitizing,Midwest,Solo owner/operator,Under $50k,1.0,2.0,Contract embroidery,Unknown,102.0,1.41,,,True,Sometimes/depends,True,Published percentage/flat fee,Rarely,Quarterly,2.0,Slightly confident,Variable,False,
office0@redbarndesignsllc.example,Red Barn Designs Llc,Midwest,2-5 employees,$50k-$100k,20,11-20,12,Mixed services,Schools/teams,Stitch-count based,Quarterly,4,4,4,3,3,18,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,2,2,2,2,2,1,2,1,2-5 employees,Under $100k,Veteran (11-20),Stitch-count based,Mixed,Capacity Pressure,Midwest,Red Barn Designs Llc,Midwest,2-5 employees,$50k-$100k,31.0,10.0,Mixed services,Stitch-count based,120.0,1.82,6.0,,True,Always/standard,False,No,Frequently,Quarterly,4.0,Confident,Acceptable,False,Customers are more price-sensitive this year.
info@cedarworkscompany.example,Cedar Works Company,Midwest,6-10 employees,$500k-$1M,8,6-10,10,Custom embroidery,Contract/B2B,Cost-plus,When costs change,3,4,2,4,4,17,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,1,2,2,2,1,1,2,2,2,2,6-10 employees,$500k+,Established (4-10),Cost-plus,B2B,Intended Profit,Midwest,Cedar Works Company,Midwest,6-10 employees,$500k-$1M,8.0,10.0,Custom embroidery,Cost-plus,130.0,1.32,,100.0,True,Always/standard,False,Case-by-case,Sometimes,When costs change,3.0,Somewhat confident,Very strong,False,We need a better price sheet.
info@lakesidecreativellc.example,Lakeside Creative Llc,West,2-5 employees,$50k-$100k,19,11-20,4,Custom embroidery,Small business/local orgs,Value-based,Annually,4,4,4,3,4,19,Strong Pricing System,True,False,False,False,,2,2,2,2,2,2,2,1,2,2,2-5 employees,Under $100k,Veteran (11-20),Value-based,Mixed,Capacity Pressure,West,Lakeside Creative Llc,West,2-5 employees,$50k-$100k,19.0,4.0,Custom embroidery,Value-based,79.0,1.29,,50.0,False,No,True,Published percentage/flat fee,Rarely,Annually,5.0,Very confident,Very strong,False,Minimums changed everything for us.
quotes@lakesidelogoshopcompan.example,Lakeside Logo Shop Company #1645,Northeast,Solo owner/operator,$50k-$100k,15,11-20,1,Custom embroidery,Schools/teams,Cost-plus,Unknown,3,4,3,2,3,15,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,1,2,2,2,1,1,1,2,1,Solo owner/operator,Under $100k,Veteran (11-20),Cost-plus,Mixed,Capacity Pressure,Northeast,Lakeside Logo Shop Company #1645,Northeast,Solo owner/operator,Prefer not to say,15.0,1.0,Custom embroidery,Stitch-count based,103.0,1.19,,100.0,True,Always/standard,True,Published percentage/flat fee,Rarely,Before every quote,4.0,Confident,Good,False,I worry about losing repeat customers.
quotes@cedarteamwearcollectiv.example,Cedar Teamwear Collective,Northeast,2-5 employees,Unknown,11,11-20,4,Custom embroidery,Mixed,Cost-plus,Rarely/never,3,2,2,2,2,11,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,1,2,1,1,1,1,1,1,1,1,2-5 employees,Unknown,Veteran (11-20),Cost-plus,Mixed,Real Labor,Northeast,Cedar Teamwear Collective,Northeast,2-5 employees,$100k-$250k,11.0,4.0,Custom embroidery,Cost-plus,94.0,1.39,,75.0,True,Sometimes/depends,True,Published percentage/flat fee,Rarely,Unknown,1.0,Not confident,Good,False,We need a better price sheet.
owner@crownbrandinggroup.example,Crown Branding Group,Northeast,2-5 employees,$250k-$500k,19,11-20,12,Decorated apparel,Corporate/commercial,Hybrid/job costing,Annually,3,3,4,4,4,18,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,1,1,2,2,2,2,2,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Hybrid/job costing,B2B,Production Cost,Northeast,Crown Branding Group,Northeast,2-5 employees,$250k-$500k,19.0,12.0,Decorated apparel,Hybrid/job costing,129.0,1.69,12.0,,True,Always/standard,True,Published percentage/flat fee,Rarely,Annually,5.0,Very confident,Very strong,False,Customers are more price-sensitive this year.
