respondent_id,business_name_clean,canonical_email,email_hash,region,business_size,employee_count,annual_revenue_band,years_in_operation,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,pricing_maturity_latent,in_pricing_diagnostic_clean,in_benchmark_clean,true_overlap_flag
NNEP-R0250,Red Barn Works Shop,info5@redbarnworksshop.example,emh_af7aa07841,Northeast,6-10 employees,6,$1M+,16,3,Custom embroidery,Mostly consumers,Cost-plus,Annually,0.5511,True,True,True
NNEP-R0251,Prairie Decorated Goods Shop,hello@prairiedecoratedgoodss.example,emh_58305b24ef,Midwest,Solo owner/operator,1,Under $50k,13,1,Decorated apparel,Mixed,Value-based,Annually,0.7579,True,False,False
NNEP-R0252,Lakeside Creative LLC,info@lakesidecreativellc.example,emh_cbf415516e,West,2-5 employees,3,$50k-$100k,19,4,Custom embroidery,Small business/local orgs,Value-based,Annually,0.9079,True,True,True
NNEP-R0253,River Works Collective,info1@riverworkscollective.example,emh_1ddcb0d947,South,Solo owner/operator,1,$50k-$100k,4,1,Mixed services,Contract/B2B,Informal/custom quote,When costs change,0.1497,True,False,False
NNEP-R0254,Sunrise Decorated Goods,quotes@sunrisedecoratedgoods.example,emh_f51688c867,South,Solo owner/operator,1,$500k-$1M,8,1,Custom embroidery,Small business/local orgs,Informal/custom quote,When costs change,0.3471,True,False,False
NNEP-R0255,Bright Creative Company,office@brightcreativecompany.example,emh_14ed5ee3a5,Northeast,2-5 employees,2,$500k-$1M,11,3,Custom embroidery,Mixed,Hybrid/job costing,Annually,0.7347,True,False,False
NNEP-R0256,Urban Monograms LLC,owner@urbanmonogramsllc.example,emh_acc5cdf46c,South,6-10 employees,9,$50k-$100k,27,12,Promotional products,Small business/local orgs,Value-based,Annually,0.99,True,False,False
NNEP-R0257,Bobbin Teamwear LLC,quotes@bobbinteamwearllc.example,emh_2591c3e612,West,Solo owner/operator,1,$100k-$250k,13,2,Team/school spiritwear,Schools/teams,Cost-plus,Annually,0.6883,True,False,False
NNEP-R0258,Sunrise Wearables Company,hello@sunrisewearablescompan.example,emh_c7a3c34287,Canada/Other,Solo owner/operator,1,$100k-$250k,1,2,Decorated apparel,Schools/teams,Hybrid/job costing,Quarterly,0.6632,True,True,True
NNEP-R0259,Stitch Stitch Co. Collective,info0@stitchstitchcocollecti.example,emh_16f7a690f3,South,2-5 employees,4,$500k-$1M,11,1,Custom embroidery,Corporate/commercial,Informal/custom quote,Annually,0.6201,True,False,False
NNEP-R0260,Oak Works Company,info@oakworkscompany.example,emh_cb1b8da6b9,West,Solo owner/operator,1,$250k-$500k,5,3,Custom embroidery,Mixed,Cost-plus,Rarely/never,0.5649,True,False,False
NNEP-R0261,River Designs Group,office@riverdesignsgroup.example,emh_63fd74a638,Midwest,Solo owner/operator,1,Under $50k,0,1,Decorated apparel,Mostly consumers,Informal/custom quote,Rarely/never,0.2116,False,True,False
NNEP-R0262,Lucky Print & Stitch LLC,office@luckyprintstitchllc.example,emh_c19452d9d5,Midwest,11-25 employees,18,$50k-$100k,1,8,Contract embroidery,Mixed,Cost-plus,Annually,0.7162,True,False,False
NNEP-R0263,Hoop Decorated Goods LLC,owner@hoopdecoratedgoodsllc.example,emh_9ef479a6bc,Midwest,2-5 employees,3,$500k-$1M,0,10,Mixed services,Mostly consumers,Stitch-count based,When costs change,0.4462,True,False,False
NNEP-R0264,Cedar Teamwear Group,hello5@cedarteamweargroup.example,emh_d4d2fc6118,South,Solo owner/operator,1,$500k-$1M,8,1,Mixed services,Corporate/commercial,Competitor-based,Rarely/never,0.02,True,False,False
NNEP-R0265,Sunrise Threads LLC,contact@sunrisethreadsllc.example,emh_f251ecf2be,Midwest,26+ employees,40,$100k-$250k,19,8,Custom embroidery,Schools/teams,Cost-plus,Annually,0.99,True,False,False
NNEP-R0266,Bobbin Branding LLC,contact@bobbinbrandingllc.example,emh_82d034ab84,West,6-10 employees,8,$500k-$1M,33,5,Custom embroidery,Small business/local orgs,Hybrid/job costing,Annually,0.7878,True,True,True
NNEP-R0267,Stitch Embroidery Group,sales@stitchembroiderygroup.example,emh_f52c04cb56,West,26+ employees,35,$1M+,1,12,Custom embroidery,Small business/local orgs,Cost-plus,Quarterly,0.99,True,False,False
NNEP-R0268,Prairie Decorated Goods,office@prairiedecoratedgoods.example,emh_956f92a0f5,South,Solo owner/operator,1,$100k-$250k,2,1,Team/school spiritwear,Mostly consumers,Competitor-based,Rarely/never,0.2991,True,False,False
NNEP-R0269,Prairie Works Collective,office@prairieworkscollective.example,emh_3bf56aaf34,Midwest,2-5 employees,5,$250k-$500k,7,1,Promotional products,Corporate/commercial,Informal/custom quote,Annually,0.3936,False,True,False
NNEP-R0270,Lakeside Designs,info4@lakesidedesigns.example,emh_73a2f54010,Midwest,2-5 employees,2,$1M+,13,1,Contract embroidery,Contract/B2B,Hourly rate,Rarely/never,0.1586,True,False,False
NNEP-R0271,Silver Branding Company,contact@silverbrandingcompany.example,emh_1048b0744b,South,Solo owner/operator,1,$500k-$1M,15,1,Mixed services,Mixed,Value-based,When costs change,0.6838,True,False,False
NNEP-R0272,Cedar Customs Shop,owner@cedarcustomsshop.example,emh_ba6dc41e28,South,Solo owner/operator,1,Under $50k,13,1,Mixed services,Mixed,Hourly rate,Annually,0.6798,True,False,False
NNEP-R0273,Main Street Stitch Co. Collective,office@mainstreetstitchcocoll.example,emh_2b3b85d0aa,South,26+ employees,56,$100k-$250k,23,24,Custom embroidery,Corporate/commercial,Cost-plus,When costs change,0.9593,True,False,False
NNEP-R0274,Willow Works Company,sales@willowworkscompany.example,emh_79d4255e76,West,2-5 employees,5,$250k-$500k,6,4,Contract embroidery,Mostly consumers,Stitch-count based,Rarely/never,0.2622,True,True,True
NNEP-R0275,River Designs Company,info@riverdesignscompany.example,emh_4cdfc5de97,South,Solo owner/operator,1,Under $50k,16,5,Mixed services,Contract/B2B,Hybrid/job costing,When costs change,0.7679,True,False,False
NNEP-R0276,Pine Wearables Company,quotes@pinewearablescompany.example,emh_a7385fae63,South,Solo owner/operator,1,$100k-$250k,25,2,Custom embroidery,Mostly consumers,Cost-plus,Quarterly,0.8862,True,False,False
NNEP-R0277,Stitch Digitizing Studio,sales4@stitchdigitizingstudio.example,emh_e76e8f3042,West,2-5 employees,3,$50k-$100k,3,6,Decorated apparel,Corporate/commercial,Cost-plus,Rarely/never,0.3642,True,False,False
NNEP-R0278,Maple Needleworks Company,contact@mapleneedleworkscompan.example,emh_4c670d5dd1,Northeast,6-10 employees,9,$250k-$500k,2,5,Mixed services,Mostly consumers,Hourly rate,Rarely/never,0.2301,True,False,False
NNEP-R0279,Lucky Digitizing Studio,quotes6@luckydigitizingstudio.example,emh_765786ef1d,South,6-10 employees,8,$1M+,18,2,Decorated apparel,Mostly consumers,Stitch-count based,Annually,0.7503,True,False,False
NNEP-R0280,Silver Digitizing Studio,contact0@silverdigitizingstudio.example,emh_c5a8f9fe96,South,Solo owner/operator,1,$50k-$100k,27,1,Contract embroidery,Corporate/commercial,Stitch-count based,When costs change,0.2561,True,False,False
NNEP-R0281,Urban Works Collective,quotes@urbanworkscollective.example,emh_86a7e5950c,South,Solo owner/operator,1,Under $50k,7,2,Promotional products,Corporate/commercial,Informal/custom quote,When costs change,0.02,True,False,False
NNEP-R0282,Urban Creative LLC,hello@urbancreativellc.example,emh_1f2348c415,Northeast,Solo owner/operator,1,$50k-$100k,0,1,Contract embroidery,Mixed,Competitor-based,When costs change,0.2997,True,False,False
NNEP-R0283,Summit Teamwear,contact@summitteamwear.example,emh_1ee6d18b62,Northeast,Solo owner/operator,1,$50k-$100k,4,2,Mixed services,Corporate/commercial,Informal/custom quote,Annually,0.4322,True,False,False
NNEP-R0284,Lakeside Branding Shop,owner@lakesidebrandingshop.example,emh_326cecf72f,South,2-5 employees,2,$100k-$250k,6,1,Custom embroidery,Mostly consumers,Stitch-count based,Before every quote,0.5654,True,False,False
NNEP-R0285,Stitch Needleworks Shop,sales@stitchneedleworksshop.example,emh_da24b327f0,South,Solo owner/operator,1,$50k-$100k,2,1,Decorated apparel,Mixed,Informal/custom quote,Annually,0.1557,True,False,False
NNEP-R0286,Prairie Logo Shop LLC,quotes6@prairielogoshopllc.example,emh_52eb622dba,Northeast,2-5 employees,2,$100k-$250k,12,4,Custom embroidery,Small business/local orgs,Informal/custom quote,When costs change,0.5925,True,False,False
NNEP-R0287,Bobbin Decorated Goods Shop,sales@bobbindecoratedgoodssh.example,emh_e41b6f2d83,Midwest,Solo owner/operator,1,$500k-$1M,0,5,Contract embroidery,Small business/local orgs,Informal/custom quote,Rarely/never,0.0559,True,False,False
NNEP-R0288,Maple Teamwear Collective,office1@mapleteamwearcollectiv.example,emh_a50198516c,West,2-5 employees,5,$100k-$250k,12,6,Mixed services,Mixed,Informal/custom quote,When costs change,0.5774,True,True,True
NNEP-R0289,Main Street Needleworks Group,sales@mainstreetneedleworksg.example,emh_7ef71823c2,West,Solo owner/operator,1,Under $50k,0,1,Custom embroidery,Small business/local orgs,Informal/custom quote,Annually,0.02,True,False,False
NNEP-R0290,Golden Works Collective,quotes@goldenworkscollective.example,emh_a30fe7c7c7,Canada/Other,26+ employees,64,$500k-$1M,2,12,Contract embroidery,Mostly consumers,Hybrid/job costing,When costs change,0.6332,True,False,False
NNEP-R0291,Bobbin Teamwear,owner@bobbinteamwear.example,emh_3d31768df8,West,Solo owner/operator,1,$50k-$100k,10,1,Mixed services,Mostly consumers,Cost-plus,When costs change,0.6485,True,False,False
NNEP-R0292,Iron Threads Company,sales@ironthreadscompany.example,emh_4fd7460cd1,Midwest,11-25 employees,25,$100k-$250k,2,8,Mixed services,Mixed,Value-based,Annually,0.9136,True,False,False
NNEP-R0293,Oak Studio Shop,owner@oakstudioshop.example,emh_ad0644c470,South,6-10 employees,6,$500k-$1M,15,8,Contract embroidery,Contract/B2B,Hybrid/job costing,Before every quote,0.767,True,False,False
NNEP-R0294,Needle Designs Shop,info@needledesignsshop.example,emh_763c38789a,Midwest,Solo owner/operator,1,$250k-$500k,7,3,Promotional products,Schools/teams,Stitch-count based,When costs change,0.2795,True,True,True
NNEP-R0295,Blue Ridge Threads LLC,office@blueridgethreadsllc.example,emh_00b87c65f0,Midwest,Solo owner/operator,1,Under $50k,9,3,Mixed services,Mostly consumers,Hybrid/job costing,Quarterly,0.6044,True,False,False
NNEP-R0296,Stitch Customs Company,quotes@stitchcustomscompany.example,emh_578838a56e,Northeast,2-5 employees,3,$250k-$500k,12,3,Custom embroidery,Mixed,Hourly rate,Before every quote,0.6884,True,False,False
NNEP-R0297,Bright Designs Collective,contact3@brightdesignscollectiv.example,emh_29cb97f8bf,West,2-5 employees,4,$1M+,12,2,Contract embroidery,Schools/teams,Informal/custom quote,Before every quote,0.3308,True,False,False
NNEP-R0298,Silver Embroidery Company,info@silverembroiderycompan.example,emh_80efbfdb89,South,2-5 employees,4,$250k-$500k,24,1,Decorated apparel,Mostly consumers,Competitor-based,Before every quote,0.8903,True,False,False
NNEP-R0299,Urban Stitch Co. Group,owner@urbanstitchcogroup.example,emh_ed29bb8125,Midwest,11-25 employees,12,$1M+,23,10,Contract embroidery,Corporate/commercial,Cost-plus,When costs change,0.9089,True,False,False
NNEP-R0300,Stitch Creative,info@stitchcreative.example,emh_d3c594bd05,West,2-5 employees,4,$250k-$500k,1,6,Contract embroidery,Corporate/commercial,Hybrid/job costing,Annually,0.8065,True,True,True
NNEP-R0301,Pine Creative,sales@pinecreative.example,emh_0f827e3673,South,2-5 employees,2,$250k-$500k,0,6,Promotional products,Small business/local orgs,Value-based,Before every quote,0.7914,True,False,False
NNEP-R0302,Bright Print & Stitch Collective,quotes@brightprintstitchcolle.example,emh_b48834b731,South,6-10 employees,7,$500k-$1M,4,8,Contract embroidery,Corporate/commercial,Competitor-based,Annually,0.4801,True,False,False
NNEP-R0303,Cedar Logo Shop Company,sales2@cedarlogoshopcompany.example,emh_07193c09dc,Northeast,11-25 employees,12,$1M+,19,12,Custom embroidery,Mixed,Hybrid/job costing,When costs change,0.8496,True,True,True
NNEP-R0304,Cedar Studio Group,sales@cedarstudiogroup.example,emh_d0593cd91e,West,2-5 employees,4,$250k-$500k,28,1,Custom embroidery,Mixed,Hourly rate,Annually,0.9069,True,False,False
NNEP-R0305,Summit Creative Studio,office@summitcreativestudio.example,emh_5100ab7836,Midwest,2-5 employees,5,$500k-$1M,14,2,Decorated apparel,Corporate/commercial,Hourly rate,Annually,0.788,False,True,False
NNEP-R0306,Bobbin Decorated Goods Collective,quotes5@bobbindecoratedgoodsco.example,emh_a23f20f6e3,South,Solo owner/operator,1,$50k-$100k,8,1,Promotional products,Mostly consumers,Hybrid/job costing,Annually,0.6773,False,True,False
NNEP-R0307,Oak Wearables Studio,contact6@oakwearablesstudio.example,emh_4a014b3855,South,2-5 employees,5,$250k-$500k,13,3,Mixed services,Mostly consumers,Value-based,Quarterly,0.99,False,True,False
NNEP-R0308,Bobbin Branding Shop,info0@bobbinbrandingshop.example,emh_87be842130,South,2-5 employees,4,$250k-$500k,11,3,Custom embroidery,Small business/local orgs,Hourly rate,Before every quote,0.9096,True,False,False
NNEP-R0309,Willow Needleworks Company,office1@willowneedleworkscompa.example,emh_6b8faa30e8,South,Solo owner/operator,1,$50k-$100k,19,2,Team/school spiritwear,Mixed,Hybrid/job costing,Annually,0.7186,True,True,True
NNEP-R0310,Lucky Print & Stitch Shop,owner@luckyprintstitchshop.example,emh_e51fa44cab,Northeast,2-5 employees,5,$1M+,22,6,Team/school spiritwear,Contract/B2B,Informal/custom quote,When costs change,0.552,True,False,False
NNEP-R0311,Prairie Designs Studio,contact@prairiedesignsstudio.example,emh_f41eab0c2f,South,6-10 employees,9,$500k-$1M,1,2,Custom embroidery,Mixed,Cost-plus,Quarterly,0.5778,True,True,True
NNEP-R0312,Cedar Creative Collective,info4@cedarcreativecollectiv.example,emh_7fdbb6bef3,South,Solo owner/operator,1,$50k-$100k,0,1,Decorated apparel,Contract/B2B,Informal/custom quote,When costs change,0.1634,True,False,False
NNEP-R0313,Blue Ridge Apparel Studio,owner@blueridgeapparelstudio.example,emh_c5037f82b8,West,Solo owner/operator,1,Under $50k,4,2,Custom embroidery,Contract/B2B,Hybrid/job costing,Annually,0.6716,True,False,False
NNEP-R0314,Blue Ridge Designs Studio,contact6@blueridgedesignsstudio.example,emh_585f4e4abd,Northeast,Solo owner/operator,1,$1M+,10,1,Promotional products,Schools/teams,Hybrid/job costing,When costs change,0.7036,True,False,False
NNEP-R0315,Bright Decorated Goods Collective,sales@brightdecoratedgoodsco.example,emh_8251a8cc8b,West,6-10 employees,6,$100k-$250k,13,8,Decorated apparel,Contract/B2B,Informal/custom quote,When costs change,0.3032,True,False,False
NNEP-R0316,Urban Creative Company,office@urbancreativecompany.example,emh_f811ea6450,Midwest,2-5 employees,4,$250k-$500k,7,3,Custom embroidery,Small business/local orgs,Informal/custom quote,When costs change,0.3596,True,False,False
NNEP-R0317,Bright Decorated Goods Shop,owner@brightdecoratedgoodssh.example,emh_93664f50c6,South,2-5 employees,5,$500k-$1M,6,2,Decorated apparel,Schools/teams,Hybrid/job costing,Annually,0.7285,True,True,True
NNEP-R0318,Hoop Customs Collective,sales@hoopcustomscollective.example,emh_260609e6ba,West,26+ employees,56,$1M+,26,30,Contract embroidery,Small business/local orgs,Hourly rate,Annually,0.8982,True,True,True
NNEP-R0319,Crown Threads Shop,owner@crownthreadsshop.example,emh_41aa6ad099,South,2-5 employees,5,$50k-$100k,2,2,Decorated apparel,Contract/B2B,Cost-plus,Annually,0.5378,True,False,False
NNEP-R0320,Crown Branding Group,info@crownbrandinggroup.example,emh_4bbc5bccbe,West,Solo owner/operator,1,$50k-$100k,24,3,Mixed services,Corporate/commercial,Value-based,Annually,0.99,True,False,False
NNEP-R0321,Red Barn Logo Shop Shop,hello@redbarnlogoshopshop.example,emh_d3bbfd9737,Canada/Other,2-5 employees,3,$100k-$250k,10,8,Mixed services,Mostly consumers,Hybrid/job costing,Annually,0.9778,True,False,False
NNEP-R0322,Needle Creative,owner0@needlecreative.example,emh_6c2b0ddd9d,Canada/Other,2-5 employees,5,$500k-$1M,5,3,Team/school spiritwear,Contract/B2B,Informal/custom quote,Before every quote,0.3385,True,False,False
NNEP-R0323,Cedar Customs Group,info1@cedarcustomsgroup.example,emh_6d6074faad,South,6-10 employees,6,$500k-$1M,9,6,Team/school spiritwear,Mixed,Cost-plus,Rarely/never,0.5477,True,True,True
NNEP-R0324,Oak Stitch Co. Group,quotes@oakstitchcogroup.example,emh_2a2d824e12,Midwest,Solo owner/operator,1,$250k-$500k,7,1,Team/school spiritwear,Mixed,Informal/custom quote,Rarely/never,0.1932,True,False,False
NNEP-R0325,Crown Print & Stitch,owner@crownprintstitch.example,emh_8dc56baec9,West,Solo owner/operator,1,Under $50k,16,1,Contract embroidery,Corporate/commercial,Hybrid/job costing,When costs change,0.7746,True,True,True
NNEP-R0326,Lucky Customs Collective,hello4@luckycustomscollective.example,emh_6fc8ec8814,West,26+ employees,37,$500k-$1M,5,10,Contract embroidery,Contract/B2B,Cost-plus,Before every quote,0.6232,True,False,False
NNEP-R0327,Bobbin Studio LLC,owner@bobbinstudiollc.example,emh_4b84ae2789,South,Solo owner/operator,1,$250k-$500k,0,3,Decorated apparel,Mixed,Informal/custom quote,Before every quote,0.2076,True,False,False
NNEP-R0328,Bright Monograms Studio,hello@brightmonogramsstudio.example,emh_e638365186,West,Solo owner/operator,1,Under $50k,20,4,Custom embroidery,Mixed,Cost-plus,Quarterly,0.7182,False,True,False
NNEP-R0329,Blue Ridge Wearables Collective,hello@blueridgewearablescoll.example,emh_7fe5a60ece,Northeast,26+ employees,53,$1M+,2,6,Mixed services,Small business/local orgs,Cost-plus,Rarely/never,0.7468,True,False,False
NNEP-R0330,Bobbin Works Group,hello@bobbinworksgroup.example,emh_aab079169e,West,2-5 employees,3,$100k-$250k,2,3,Promotional products,Small business/local orgs,Cost-plus,When costs change,0.4022,True,False,False
NNEP-R0331,Maple Decorated Goods Studio,owner@mapledecoratedgoodsstu.example,emh_fb9428fd3f,Northeast,6-10 employees,8,$1M+,5,6,Custom embroidery,Mostly consumers,Cost-plus,Annually,0.7762,True,True,True
NNEP-R0332,Golden Creative Studio,hello3@goldencreativestudio.example,emh_7513303578,South,2-5 employees,5,$100k-$250k,8,2,Decorated apparel,Corporate/commercial,Competitor-based,Rarely/never,0.3025,True,False,False
NNEP-R0333,Hoop Decorated Goods Group,contact4@hoopdecoratedgoodsgrou.example,emh_b0f89c5f3b,South,Solo owner/operator,1,$100k-$250k,12,2,Mixed services,Small business/local orgs,Competitor-based,When costs change,0.339,True,False,False
NNEP-R0334,Bright Stitch Co.,office@brightstitchco.example,emh_4c91c422f2,Midwest,Solo owner/operator,1,$100k-$250k,15,1,Custom embroidery,Mixed,Hybrid/job costing,When costs change,0.6324,True,True,True
NNEP-R0335,Lucky Print & Stitch LLC,contact@luckyprintstitchllc.example,emh_b81dcbd4b6,Midwest,Solo owner/operator,1,$50k-$100k,6,2,Mixed services,Mostly consumers,Stitch-count based,When costs change,0.326,False,True,False
NNEP-R0336,Needle Creative LLC,sales@needlecreativellc.example,emh_ff9074f5fd,Northeast,Solo owner/operator,1,$100k-$250k,9,1,Decorated apparel,Mixed,Stitch-count based,Rarely/never,0.0241,True,False,False
NNEP-R0337,River Threads Collective,info1@riverthreadscollective.example,emh_01f19d35e2,West,6-10 employees,8,$1M+,1,6,Custom embroidery,Mixed,Informal/custom quote,Rarely/never,0.0281,True,False,False
NNEP-R0338,Lakeside Stitch Co. LLC,contact2@lakesidestitchcollc.example,emh_3984713eb8,Midwest,6-10 employees,10,$250k-$500k,22,5,Custom embroidery,Corporate/commercial,Cost-plus,Quarterly,0.9155,False,True,False
NNEP-R0339,Summit Decorated Goods Studio,info@summitdecoratedgoodsst.example,emh_7ef927339a,West,6-10 employees,8,$250k-$500k,14,5,Decorated apparel,Mostly consumers,Hybrid/job costing,When costs change,0.7282,True,False,False
NNEP-R0340,Maple Apparel LLC,sales@mapleapparelllc.example,emh_72b483c5c1,South,2-5 employees,5,Under $50k,8,5,Custom embroidery,Mixed,Hybrid/job costing,Rarely/never,0.6581,True,False,False
NNEP-R0341,Prairie Wearables Collective,info@prairiewearablescollec.example,emh_88f16ffbcb,Northeast,Solo owner/operator,1,$100k-$250k,24,2,Contract embroidery,Contract/B2B,Stitch-count based,Annually,0.4446,True,False,False
NNEP-R0342,River Monograms LLC,sales6@rivermonogramsllc.example,emh_1597da219a,Northeast,26+ employees,51,$250k-$500k,27,24,Mixed services,Schools/teams,Competitor-based,Quarterly,0.9444,True,False,False
NNEP-R0343,Needle Monograms LLC,office0@needlemonogramsllc.example,emh_01e7ad679b,West,11-25 employees,24,$1M+,27,5,Decorated apparel,Contract/B2B,Stitch-count based,Annually,0.2612,True,False,False
NNEP-R0344,Summit Works LLC,sales@summitworksllc.example,emh_346fd56f98,Midwest,Solo owner/operator,1,$250k-$500k,8,1,Mixed services,Mostly consumers,Stitch-count based,When costs change,0.4286,True,True,True
NNEP-R0345,Hoop Teamwear Collective,quotes@hoopteamwearcollective.example,emh_cc45b45158,Midwest,Solo owner/operator,1,Under $50k,2,3,Decorated apparel,Mixed,Stitch-count based,When costs change,0.4974,True,False,False
NNEP-R0346,Summit Designs Studio,owner@summitdesignsstudio.example,emh_dafccced6f,West,2-5 employees,5,$100k-$250k,11,2,Custom embroidery,Schools/teams,Informal/custom quote,When costs change,0.1048,True,True,True
NNEP-R0347,Blue Ridge Designs Shop,info@blueridgedesignsshop.example,emh_3f5b07f276,Northeast,Solo owner/operator,1,$50k-$100k,7,2,Team/school spiritwear,Schools/teams,Cost-plus,Rarely/never,0.497,False,True,False
NNEP-R0348,Blue Ridge Wearables LLC,contact@blueridgewearablesllc.example,emh_f25fd164c7,Midwest,Solo owner/operator,1,$50k-$100k,1,1,Team/school spiritwear,Schools/teams,Hybrid/job costing,Annually,0.5395,True,False,False
NNEP-R0349,Summit Threads,quotes6@summitthreads.example,emh_8d76d21202,Midwest,2-5 employees,3,Under $50k,18,5,Decorated apparel,Contract/B2B,Hybrid/job costing,When costs change,0.831,True,False,False
NNEP-R0350,Blue Ridge Stitch Co. Collective,hello@blueridgestitchcocolle.example,emh_3d262fbbab,Northeast,Solo owner/operator,1,$50k-$100k,15,5,Mixed services,Mostly consumers,Informal/custom quote,Annually,0.5806,True,False,False
NNEP-R0351,Magnolia Monograms LLC,info@magnoliamonogramsllc.example,emh_e05a06b3fe,Northeast,Solo owner/operator,1,Under $50k,2,2,Custom embroidery,Mixed,Informal/custom quote,Before every quote,0.1098,True,False,False
NNEP-R0352,Bobbin Needleworks Group,info@bobbinneedleworksgroup.example,emh_703c428b44,South,11-25 employees,20,$250k-$500k,31,12,Decorated apparel,Small business/local orgs,Hybrid/job costing,Quarterly,0.99,True,False,False
NNEP-R0353,Prairie Embroidery,quotes@prairieembroidery.example,emh_1603ca5c68,Northeast,Solo owner/operator,1,$50k-$100k,12,1,Custom embroidery,Small business/local orgs,Hybrid/job costing,Annually,0.8164,True,False,False
NNEP-R0354,Crown Creative Shop,contact4@crowncreativeshop.example,emh_0fbb17a40b,Midwest,Solo owner/operator,1,Under $50k,0,2,Decorated apparel,Small business/local orgs,Stitch-count based,Rarely/never,0.3015,True,True,True
NNEP-R0355,Stitch Print & Stitch LLC,office@stitchprintstitchllc.example,emh_8a25acbfa0,South,6-10 employees,10,$1M+,1,3,Decorated apparel,Mostly consumers,Hourly rate,Rarely/never,0.096,True,False,False
NNEP-R0356,Blue Ridge Branding Collective,sales@blueridgebrandingcolle.example,emh_7f6960097a,South,Solo owner/operator,1,$100k-$250k,3,1,Mixed services,Corporate/commercial,Cost-plus,Quarterly,0.7997,True,False,False
NNEP-R0357,Bobbin Logo Shop LLC,sales@bobbinlogoshopllc.example,emh_8ece7d9b29,South,6-10 employees,10,$1M+,26,2,Custom embroidery,Corporate/commercial,Stitch-count based,Before every quote,0.4537,True,False,False
NNEP-R0358,Lakeside Embroidery Collective,quotes1@lakesideembroiderycoll.example,emh_b90a322f8d,Northeast,Solo owner/operator,1,$250k-$500k,0,2,Mixed services,Corporate/commercial,Informal/custom quote,When costs change,0.1992,True,False,False
NNEP-R0359,Red Barn Stitch Co. Company,sales2@redbarnstitchcocompany.example,emh_233ab4e568,West,6-10 employees,9,$500k-$1M,21,6,Custom embroidery,Mixed,Stitch-count based,Before every quote,0.524,True,False,False
NNEP-R0360,Maple Needleworks Studio,sales@mapleneedleworksstudio.example,emh_f14affe21e,South,Solo owner/operator,1,$250k-$500k,33,2,Mixed services,Contract/B2B,Hybrid/job costing,Quarterly,0.8018,True,False,False
NNEP-R0361,Magnolia Works Studio #1361,office@magnoliaworksstudio136.example,emh_68a11df639,West,Solo owner/operator,1,Under $50k,3,1,Promotional products,Small business/local orgs,Stitch-count based,Annually,0.427,True,False,False
NNEP-R0362,North Star Works LLC #1362,office5@northstarworksllc1362.example,emh_8d299e3718,South,Solo owner/operator,1,$100k-$250k,19,1,Custom embroidery,Mixed,Hybrid/job costing,Quarterly,0.6102,False,True,False
NNEP-R0363,Bright Designs LLC #1363,sales@brightdesignsllc1363.example,emh_930fdfb8fa,South,2-5 employees,2,$100k-$250k,0,2,Mixed services,Small business/local orgs,Competitor-based,Rarely/never,0.5483,True,False,False
NNEP-R0364,Prairie Branding Group #1364,owner0@prairiebrandinggroup13.example,emh_b1f79fd01f,South,Solo owner/operator,1,$50k-$100k,2,5,Mixed services,Corporate/commercial,Hourly rate,Rarely/never,0.1504,True,False,False
NNEP-R0365,Summit Needleworks LLC #1365,contact1@summitneedleworksllc13.example,emh_4eb32d0a99,Midwest,Solo owner/operator,1,Under $50k,4,2,Mixed services,Small business/local orgs,Hybrid/job costing,Rarely/never,0.4299,True,False,False
NNEP-R0366,Red Barn Studio Collective #1366,quotes@redbarnstudiocollectiv.example,emh_cce9c8bb67,South,2-5 employees,3,$1M+,22,4,Contract embroidery,Contract/B2B,Informal/custom quote,Rarely/never,0.3363,True,False,False
NNEP-R0367,Bright Designs #1367,info@brightdesigns1367.example,emh_4846d58cf4,South,2-5 employees,5,$250k-$500k,15,6,Team/school spiritwear,Mixed,Value-based,Quarterly,0.6372,True,False,False
NNEP-R0368,Crown Designs LLC #1368,hello@crowndesignsllc1368.example,emh_daac88e5d6,West,2-5 employees,4,$100k-$250k,1,3,Mixed services,Mixed,Cost-plus,Before every quote,0.6001,True,False,False
NNEP-R0369,Main Street Customs Shop #1369,hello@mainstreetcustomsshop1.example,emh_ebdb1bcc7e,Midwest,2-5 employees,2,$250k-$500k,15,4,Decorated apparel,Corporate/commercial,Informal/custom quote,Annually,0.4369,True,False,False
NNEP-R0370,Iron Monograms Company #1370,office6@ironmonogramscompany13.example,emh_4295562655,West,2-5 employees,3,$50k-$100k,6,4,Contract embroidery,Corporate/commercial,Stitch-count based,Annually,0.6042,True,True,True
NNEP-R0371,Stitch Teamwear Collective #1371,hello@stitchteamwearcollecti.example,emh_5d47e24210,Midwest,2-5 employees,2,$1M+,12,4,Custom embroidery,Small business/local orgs,Hybrid/job costing,When costs change,0.6119,True,True,True
NNEP-R0372,Lucky Teamwear Studio #1372,sales@luckyteamwearstudio137.example,emh_57c7b719c2,Midwest,2-5 employees,3,$1M+,15,3,Custom embroidery,Small business/local orgs,Competitor-based,Annually,0.4045,True,False,False
NNEP-R0373,Silver Threads LLC #1373,sales@silverthreadsllc1373.example,emh_3ca0d2355d,South,11-25 employees,20,$500k-$1M,21,8,Mixed services,Corporate/commercial,Value-based,Annually,0.8932,True,False,False
