diagnostic_response_id,respondent_id,canonical_email,email_hash,source_row_id,submitted_at,business_name_clean,region,business_size,employee_count_band,annual_revenue_band,years_in_operation,years_in_operation_band,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,diagnostic_total_score,pricing_maturity_tier,has_structured_pricing_system,labor_underpriced_flag,profit_target_missing_flag,capacity_pricing_gap_flag
PD-2026-0345,NNEP-R0345,quotes@hoopteamwearcollective.example,emh_cc45b45158,R_PD_000321,2026-05-16T11:13:46Z,Hoop Teamwear Collective,Midwest,Solo owner/operator,Solo owner/operator,Under $50k,2,2-5,3,Decorated apparel,Mixed,Stitch-count based,When costs change,2,1,1,1,1,1,0,1,1,1,3,2,2,1,2,10,Partial Pricing System,False,False,False,True
PD-2026-0346,NNEP-R0346,owner@summitdesignsstudio.example,emh_dafccced6f,R_PD_000322,2026-02-11T01:17:25Z,Summit Designs Studio,West,2-5 employees,2-5 employees,$100k-$250k,11,11-20,2,Custom embroidery,Schools/teams,Informal/custom quote,When costs change,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True
PD-2026-0348,NNEP-R0348,contact@blueridgewearablesllc.example,emh_f25fd164c7,R_PD_000323,2026-02-08T07:01:27Z,Blue Ridge Wearables LLC,Midwest,Solo owner/operator,Solo owner/operator,$50k-$100k,1,<2,1,Team/school spiritwear,Schools/teams,Hybrid/job costing,Annually,2,1,1,1,1,2,2,1,0,1,3,2,3,3,1,12,Partial Pricing System,True,False,False,False
PD-2026-0349,NNEP-R0349,quotes6@summitthreads.example,emh_8d76d21202,R_PD_000324,2026-04-17T01:48:24Z,Summit Threads,Midwest,2-5 employees,2-5 employees,Under $50k,18,11-20,5,Decorated apparel,Contract/B2B,Hybrid/job costing,When costs change,2,2,2,2,2,2,2,1,2,2,4,4,4,3,4,19,Strong Pricing System,True,False,False,False
PD-2026-0350,NNEP-R0350,hello@blueridgestitchcocolle.example,emh_3d262fbbab,R_PD_000325,2026-05-12T00:40:52Z,Blue Ridge Stitch Co. Collective,Northeast,Solo owner/operator,Solo owner/operator,$50k-$100k,15,11-20,5,Mixed services,Mostly consumers,Informal/custom quote,Annually,1,2,2,1,1,1,1,1,1,1,3,3,2,2,2,12,Partial Pricing System,False,False,False,False
PD-2026-0351,NNEP-R0351,info@magnoliamonogramsllc.example,emh_e05a06b3fe,R_PD_000326,2026-03-24T00:23:53Z,Magnolia Monograms LLC,Northeast,Solo owner/operator,Solo owner/operator,Under $50k,2,2-5,2,Custom embroidery,Mixed,Informal/custom quote,Before every quote,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2,Pricing Blind Spots,False,True,True,True
PD-2026-0352,NNEP-R0352,info@bobbinneedleworksgroup.example,emh_703c428b44,R_PD_000327,2026-05-02T04:36:25Z,Bobbin Needleworks Group,South,11-25 employees,11-25 employees,$250k-$500k,31,21+,12,Decorated apparel,Small business/local orgs,Hybrid/job costing,Quarterly,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,20,Strong Pricing System,True,False,False,False
PD-2026-0353,NNEP-R0353,quotes@prairieembroidery.example,emh_1603ca5c68,R_PD_000328,2026-03-19T15:11:41Z,Prairie Embroidery,Northeast,Solo owner/operator,Solo owner/operator,$50k-$100k,12,11-20,1,Custom embroidery,Small business/local orgs,Hybrid/job costing,Annually,1,2,2,2,2,2,1,1,1,1,3,4,4,2,2,15,Partial Pricing System,True,False,False,False
PD-2026-0354,NNEP-R0354,contact4@crowncreativeshop.example,emh_0fbb17a40b,R_PD_000329,2026-04-07T02:30:37Z,Crown Creative Shop,Midwest,Solo owner/operator,Solo owner/operator,Under $50k,0,<2,2,Decorated apparel,Small business/local orgs,Stitch-count based,Rarely/never,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Pricing Blind Spots,False,True,True,True
PD-2026-0355,NNEP-R0355,office@stitchprintstitchllc.example,emh_8a25acbfa0,R_PD_000330,2026-05-04T14:52:41Z,Stitch Print & Stitch LLC,South,6-10 employees,6-10 employees,$1M+,1,<2,3,Decorated apparel,Mostly consumers,Hourly rate,Rarely/never,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True
PD-2026-0356,NNEP-R0356,sales@blueridgebrandingcolle.example,emh_7f6960097a,R_PD_000331,2026-05-08T00:55:02Z,Blue Ridge Branding Collective,South,Solo owner/operator,Solo owner/operator,$100k-$250k,3,2-5,1,Mixed services,Corporate/commercial,Cost-plus,Quarterly,2,2,1,2,2,2,1,2,1,2,4,3,4,3,3,17,Strong Pricing System,True,False,False,False
PD-2026-0357,NNEP-R0357,sales@bobbinlogoshopllc.example,emh_8ece7d9b29,R_PD_000332,2026-03-16T16:52:47Z,Bobbin Logo Shop LLC,South,6-10 employees,6-10 employees,$1M+,26,21+,2,Custom embroidery,Corporate/commercial,Stitch-count based,Before every quote,2,1,1,1,1,0,1,0,1,1,3,2,1,1,2,9,Partial Pricing System,False,False,True,True
PD-2026-0358,NNEP-R0358,quotes1@lakesideembroiderycoll.example,emh_b90a322f8d,R_PD_000333,2026-05-01T08:44:09Z,Lakeside Embroidery Collective,Northeast,Solo owner/operator,Solo owner/operator,$250k-$500k,0,<2,2,Mixed services,Corporate/commercial,Informal/custom quote,When costs change,1,1,0,0,0,1,0,0,0,0,2,0,1,0,0,3,Pricing Blind Spots,False,True,True,True
PD-2026-0359,NNEP-R0359,sales2@redbarnstitchcocompany.example,emh_233ab4e568,R_PD_000334,2026-03-02T18:41:40Z,Red Barn Stitch Co. Company,West,6-10 employees,6-10 employees,$500k-$1M,21,21+,6,Custom embroidery,Mixed,Stitch-count based,Before every quote,2,2,1,1,1,1,1,1,1,1,4,2,2,2,2,12,Partial Pricing System,False,False,False,False
PD-2026-0360,NNEP-R0360,sales@mapleneedleworksstudio.example,emh_f14affe21e,R_PD_000335,2026-02-25T18:41:33Z,Maple Needleworks Studio,South,Solo owner/operator,Solo owner/operator,$250k-$500k,33,21+,2,Mixed services,Contract/B2B,Hybrid/job costing,Quarterly,2,2,1,2,2,1,1,1,2,1,4,3,3,2,3,15,Partial Pricing System,True,False,False,False
PD-2026-0361,NNEP-R0361,office@magnoliaworksstudio136.example,emh_68a11df639,R_PD_000336,2026-03-07T04:40:02Z,Magnolia Works Studio #1361,West,Solo owner/operator,Solo owner/operator,Under $50k,3,2-5,1,Promotional products,Small business/local orgs,Stitch-count based,Annually,1,1,1,1,1,0,1,0,1,1,2,2,1,1,2,8,Partial Pricing System,False,False,True,True
PD-2026-0363,NNEP-R0363,sales@brightdesignsllc1363.example,emh_930fdfb8fa,R_PD_000337,2026-05-23T13:11:52Z,Bright Designs LLC #1363,South,2-5 employees,2-5 employees,$100k-$250k,0,<2,2,Mixed services,Small business/local orgs,Competitor-based,Rarely/never,2,1,2,1,1,1,1,1,1,1,3,3,2,2,2,12,Partial Pricing System,False,False,False,False
PD-2026-0364,NNEP-R0364,owner0@prairiebrandinggroup13.example,emh_b1f79fd01f,R_PD_000338,2026-05-24T15:07:59Z,Prairie Branding Group #1364,South,Solo owner/operator,Solo owner/operator,$50k-$100k,2,2-5,5,Mixed services,Corporate/commercial,Hourly rate,Rarely/never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True
PD-2026-0365,NNEP-R0365,contact1@summitneedleworksllc13.example,emh_4eb32d0a99,R_PD_000339,2026-04-23T04:48:00Z,Summit Needleworks LLC #1365,Midwest,Solo owner/operator,Solo owner/operator,Under $50k,4,2-5,2,Mixed services,Small business/local orgs,Hybrid/job costing,Rarely/never,1,1,1,1,1,0,1,1,1,0,2,2,1,2,1,8,Partial Pricing System,True,False,True,False
PD-2026-0366,NNEP-R0366,quotes@redbarnstudiocollectiv.example,emh_cce9c8bb67,R_PD_000340,2026-02-18T02:27:40Z,Red Barn Studio Collective #1366,South,2-5 employees,2-5 employees,$1M+,22,21+,4,Contract embroidery,Contract/B2B,Informal/custom quote,Rarely/never,1,1,0,1,0,0,1,0,0,0,2,1,0,1,0,4,Pricing Blind Spots,False,True,True,True
PD-2026-0367,NNEP-R0367,info@brightdesigns1367.example,emh_4846d58cf4,R_PD_000341,2026-04-17T04:27:53Z,Bright Designs #1367,South,2-5 employees,2-5 employees,$250k-$500k,15,11-20,6,Team/school spiritwear,Mixed,Value-based,Quarterly,2,1,1,1,0,1,1,0,2,1,3,2,1,1,3,10,Partial Pricing System,True,False,True,True
PD-2026-0368,NNEP-R0368,hello@crowndesignsllc1368.example,emh_daac88e5d6,R_PD_000342,2026-03-26T03:28:24Z,Crown Designs LLC #1368,West,2-5 employees,2-5 employees,$100k-$250k,1,<2,3,Mixed services,Mixed,Cost-plus,Before every quote,2,1,1,1,2,1,1,1,1,1,3,2,3,2,2,12,Partial Pricing System,True,False,False,False
PD-2026-0369,NNEP-R0369,hello@mainstreetcustomsshop1.example,emh_ebdb1bcc7e,R_PD_000343,2026-06-06T06:55:56Z,Main Street Customs Shop #1369,Midwest,2-5 employees,2-5 employees,$250k-$500k,15,11-20,4,Decorated apparel,Corporate/commercial,Informal/custom quote,Annually,1,1,1,1,1,0,1,1,0,1,2,2,1,2,1,8,Partial Pricing System,False,False,True,False
PD-2026-0370,NNEP-R0370,office6@ironmonogramscompany13.example,emh_4295562655,R_PD_000344,2026-05-11T03:15:58Z,Iron Monograms Company #1370,West,2-5 employees,2-5 employees,$50k-$100k,6,6-10,4,Contract embroidery,Corporate/commercial,Stitch-count based,Annually,2,1,1,1,1,1,0,2,2,1,3,2,2,2,3,12,Partial Pricing System,False,False,False,False
PD-2026-0371,NNEP-R0371,hello@stitchteamwearcollecti.example,emh_5d47e24210,R_PD_000345,2026-05-12T00:51:45Z,Stitch Teamwear Collective #1371,Midwest,2-5 employees,2-5 employees,$1M+,12,11-20,4,Custom embroidery,Small business/local orgs,Hybrid/job costing,When costs change,2,1,1,1,1,1,1,1,2,1,3,2,2,2,3,12,Partial Pricing System,True,False,False,False
PD-2026-0372,NNEP-R0372,sales@luckyteamwearstudio137.example,emh_57c7b719c2,R_PD_000346,2026-06-05T19:56:42Z,Lucky Teamwear Studio #1372,Midwest,2-5 employees,2-5 employees,$1M+,15,11-20,3,Custom embroidery,Small business/local orgs,Competitor-based,Annually,1,1,1,1,1,0,0,1,1,1,2,2,1,1,2,8,Partial Pricing System,False,False,True,True
PD-2026-0373,NNEP-R0373,sales@silverthreadsllc1373.example,emh_3ca0d2355d,R_PD_000347,2026-04-22T13:43:16Z,Silver Threads LLC #1373,South,11-25 employees,11-25 employees,$500k-$1M,21,21+,8,Mixed services,Corporate/commercial,Value-based,Annually,2,2,2,2,1,1,2,2,2,2,4,4,2,4,4,18,Strong Pricing System,True,False,False,False
PD-2026-0375,NNEP-R0375,office@needleprintstitch1375.example,emh_8b113c04b9,R_PD_000348,2026-06-04T12:01:27Z,Needle Print & Stitch #1375,South,Solo owner/operator,Solo owner/operator,$100k-$250k,1,<2,1,Custom embroidery,Small business/local orgs,Hourly rate,Rarely/never,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True
PD-2026-0376,NNEP-R0376,contact@cedarworkscollective13.example,emh_a40bf078ff,R_PD_000349,2026-04-09T13:07:13Z,Cedar Works Collective #1376,Midwest,2-5 employees,2-5 employees,$100k-$250k,5,2-5,5,Custom embroidery,Mixed,Informal/custom quote,Annually,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True
PD-2026-0377,NNEP-R0377,info@oakwearablesllc1377.example,emh_c7bd5ebbbb,R_PD_000350,2026-02-02T19:05:00Z,Oak Wearables LLC #1377,Midwest,6-10 employees,6-10 employees,$500k-$1M,23,21+,4,Decorated apparel,Mostly consumers,Value-based,Annually,2,2,2,2,2,1,2,2,2,2,4,4,3,4,4,19,Strong Pricing System,True,False,False,False
PD-2026-0378,NNEP-R0378,info@blueridgecustomsstudio.example,emh_e3d06b2263,R_PD_000351,2026-06-10T20:50:56Z,Blue Ridge Customs Studio #1378,Northeast,Solo owner/operator,Solo owner/operator,Under $50k,11,11-20,1,Contract embroidery,Mixed,Stitch-count based,Annually,1,1,1,0,1,1,0,1,1,1,2,1,2,1,2,8,Partial Pricing System,False,True,False,True
PD-2026-0379,NNEP-R0379,office1@oakthreadsllc1379.example,emh_150a711b59,R_PD_000352,2026-05-04T00:43:54Z,Oak Threads LLC #1379,West,2-5 employees,2-5 employees,$50k-$100k,4,2-5,2,Decorated apparel,Mixed,Stitch-count based,Annually,1,1,0,1,0,0,0,0,0,1,2,1,0,0,1,4,Pricing Blind Spots,False,True,True,True
PD-2026-0380,NNEP-R0380,quotes@ironcreative1380.example,emh_aa15a9a241,R_PD_000353,2026-03-14T16:48:34Z,Iron Creative #1380,West,Solo owner/operator,Solo owner/operator,$250k-$500k,5,2-5,2,Mixed services,Contract/B2B,Informal/custom quote,Before every quote,1,1,1,1,0,0,1,0,0,0,2,2,0,1,0,5,Pricing Blind Spots,False,False,True,True
PD-2026-0381,NNEP-R0381,quotes@bobbinteamwearcollecti.example,emh_37fd543505,R_PD_000354,2026-05-20T07:02:27Z,Bobbin Teamwear Collective #1381,South,6-10 employees,6-10 employees,$250k-$500k,32,21+,3,Custom embroidery,Mixed,Hybrid/job costing,When costs change,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,20,Strong Pricing System,True,False,False,False
PD-2026-0382,NNEP-R0382,sales4@mapleapparelcompany138.example,emh_9d3ac07a33,R_PD_000355,2026-05-31T18:42:22Z,Maple Apparel Company #1382,South,26+ employees,26+ employees,$1M+,13,11-20,30,Decorated apparel,Corporate/commercial,Stitch-count based,Quarterly,2,2,2,2,2,2,1,1,2,1,4,4,4,2,3,17,Strong Pricing System,True,False,False,False
PD-2026-0385,NNEP-R0385,contact0@urbanmonogramscollecti.example,emh_6af650cdd2,R_PD_000356,2026-05-10T08:21:45Z,Urban Monograms Collective #1385,Northeast,2-5 employees,2-5 employees,$1M+,2,2-5,4,Mixed services,Contract/B2B,Stitch-count based,When costs change,2,2,1,1,1,1,1,1,1,1,4,2,2,2,2,12,Partial Pricing System,False,False,False,False
PD-2026-0386,NNEP-R0386,sales@silverwearablesshop138.example,emh_e68e2495ec,R_PD_000357,2026-04-30T23:55:16Z,Silver Wearables Shop #1386,Canada/Other,6-10 employees,6-10 employees,$250k-$500k,6,6-10,3,Decorated apparel,Mostly consumers,Value-based,When costs change,1,1,1,1,0,0,1,1,1,1,2,2,0,2,2,8,Partial Pricing System,True,False,True,False
PD-2026-0387,NNEP-R0387,office@riverdecoratedgoodsstu.example,emh_3124e50cdb,R_PD_000358,2026-03-23T05:51:49Z,River Decorated Goods Studio #1387,Canada/Other,26+ employees,26+ employees,$1M+,24,21+,24,Promotional products,Small business/local orgs,Hybrid/job costing,Quarterly,2,2,1,2,2,2,2,1,2,2,4,3,4,3,4,18,Strong Pricing System,True,False,False,False
PD-2026-0388,NNEP-R0388,sales@lakesidedecoratedgoods.example,emh_bcb7a36d57,R_PD_000359,2026-03-25T23:17:42Z,Lakeside Decorated Goods Studio #1388,South,Solo owner/operator,Solo owner/operator,$250k-$500k,0,<2,1,Mixed services,Small business/local orgs,Stitch-count based,When costs change,1,1,1,1,1,0,1,1,0,1,2,2,1,2,1,8,Partial Pricing System,False,False,True,False
PD-2026-0389,NNEP-R0389,sales4@summitprintstitchcompa.example,emh_499344cd8d,R_PD_000360,2026-05-02T18:06:10Z,Summit Print & Stitch Company #1389,Midwest,6-10 employees,6-10 employees,$50k-$100k,15,11-20,10,Custom embroidery,Contract/B2B,Cost-plus,When costs change,2,2,2,1,1,1,0,1,1,2,4,3,2,1,3,13,Partial Pricing System,True,False,False,True
PD-2026-0390,NNEP-R0390,owner@magnoliamonogramscompa.example,emh_a0c8fc0583,R_PD_000361,2026-02-16T11:12:19Z,Magnolia Monograms Company #1390,South,2-5 employees,2-5 employees,$500k-$1M,10,6-10,5,Decorated apparel,Mixed,Stitch-count based,Before every quote,2,2,2,2,1,1,2,2,1,2,4,4,2,4,3,17,Strong Pricing System,True,False,False,False
PD-2026-0391,NNEP-R0391,hello@blueridgeworkscompany1.example,emh_42f5e316f6,R_PD_000362,2026-05-04T03:15:41Z,Blue Ridge Works Company #1391,Midwest,2-5 employees,2-5 employees,$250k-$500k,0,<2,5,Custom embroidery,Contract/B2B,Stitch-count based,Annually,1,1,0,1,1,1,1,1,0,1,2,1,2,2,1,8,Partial Pricing System,False,True,False,False
PD-2026-0392,NNEP-R0392,info0@summitdigitizing1392.example,emh_82ac528cfb,R_PD_000363,2026-05-05T08:10:34Z,Summit Digitizing #1392,Midwest,11-25 employees,11-25 employees,$250k-$500k,13,11-20,4,Team/school spiritwear,Mixed,Competitor-based,Annually,1,1,1,1,0,0,1,1,1,1,2,2,0,2,2,8,Partial Pricing System,False,False,True,False
PD-2026-0394,NNEP-R0394,hello2@mapledecoratedgoodsstu.example,emh_b184336d30,R_PD_000364,2026-05-03T02:53:46Z,Maple Decorated Goods Studio #1394,South,6-10 employees,6-10 employees,$250k-$500k,0,<2,5,Custom embroidery,Small business/local orgs,Cost-plus,When costs change,1,1,1,1,1,0,0,1,1,1,2,2,1,1,2,8,Partial Pricing System,True,False,True,True
PD-2026-0395,NNEP-R0395,sales@prairiethreadsllc1395.example,emh_8e6f1b74f7,R_PD_000365,2026-03-06T02:22:39Z,Prairie Threads LLC #1395,South,2-5 employees,2-5 employees,$100k-$250k,10,6-10,3,Promotional products,Mostly consumers,Informal/custom quote,Quarterly,2,1,1,1,1,1,1,0,1,0,3,2,2,1,1,9,Partial Pricing System,False,False,False,True
PD-2026-0396,NNEP-R0396,owner@pinethreadsshop1396.example,emh_99cac40e14,R_PD_000366,2026-02-08T01:46:40Z,Pine Threads Shop #1396,West,Solo owner/operator,Solo owner/operator,$250k-$500k,22,21+,1,Promotional products,Small business/local orgs,Hybrid/job costing,When costs change,2,1,2,2,2,1,1,1,2,1,3,4,3,2,3,15,Partial Pricing System,True,False,False,False
PD-2026-0397,NNEP-R0397,contact@northstardesignscompan.example,emh_ed2591a811,R_PD_000367,2026-04-02T20:59:33Z,North Star Designs Company #1397,Midwest,26+ employees,26+ employees,$1M+,26,21+,8,Custom embroidery,Contract/B2B,Hourly rate,Annually,2,1,2,2,2,2,1,2,2,2,3,4,4,3,4,18,Strong Pricing System,True,False,False,False
PD-2026-0398,NNEP-R0398,info@heritagedecoratedgoods.example,emh_97ed67adc9,R_PD_000368,2026-02-17T13:35:30Z,Heritage Decorated Goods LLC #1398,Midwest,2-5 employees,2-5 employees,$500k-$1M,14,11-20,2,Decorated apparel,Contract/B2B,Informal/custom quote,Rarely/never,2,1,1,1,1,1,1,1,1,1,3,2,2,2,2,11,Partial Pricing System,False,False,False,False
PD-2026-0399,NNEP-R0399,contact0@ironcreative1399.example,emh_9a71851196,R_PD_000369,2026-03-21T09:01:29Z,Iron Creative #1399,West,Solo owner/operator,Solo owner/operator,$100k-$250k,8,6-10,1,Decorated apparel,Mixed,Hourly rate,Before every quote,2,2,1,1,2,1,1,1,1,1,4,2,3,2,2,13,Partial Pricing System,False,False,False,False
PD-2026-0400,NNEP-R0400,owner@pinewearablesgroup1400.example,emh_307344cbd8,R_PD_000370,2026-02-28T04:56:27Z,Pine Wearables Group #1400,South,Solo owner/operator,Solo owner/operator,$100k-$250k,24,21+,1,Team/school spiritwear,Mixed,Informal/custom quote,Quarterly,1,1,1,1,1,1,0,1,1,1,2,2,2,1,2,9,Partial Pricing System,False,False,False,True
PD-2026-0401,NNEP-R0401,info@redbarnthreadscollecti.example,emh_85c3416c6a,R_PD_000371,2026-02-24T16:37:16Z,Red Barn Threads Collective #1401,South,2-5 employees,2-5 employees,$250k-$500k,23,21+,2,Decorated apparel,Mostly consumers,Competitor-based,Rarely/never,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,Pricing Blind Spots,False,True,True,True
PD-2026-0403,NNEP-R0403,quotes@willowstudiostudio1403.example,emh_e4aa1679da,R_PD_000372,2026-05-10T05:02:00Z,Willow Studio Studio #1403,Northeast,6-10 employees,6-10 employees,$100k-$250k,0,<2,2,Team/school spiritwear,Mixed,Informal/custom quote,Rarely/never,2,2,1,1,1,1,1,1,1,1,4,2,2,2,2,12,Partial Pricing System,False,False,False,False
PD-2026-0404,NNEP-R0404,office@summitcreativegroup140.example,emh_de2272fac9,R_PD_000373,2026-05-20T16:45:42Z,Summit Creative Group #1404,Northeast,26+ employees,26+ employees,$500k-$1M,18,11-20,24,Decorated apparel,Corporate/commercial,Hourly rate,Before every quote,2,2,2,1,2,2,1,1,1,1,4,3,4,2,2,15,Partial Pricing System,False,False,False,False
PD-2026-0405,NNEP-R0405,office@blueridgedecoratedgood.example,emh_2739aa95ae,R_PD_000374,2026-04-25T04:24:17Z,Blue Ridge Decorated Goods Group #1405,South,6-10 employees,6-10 employees,$1M+,10,6-10,10,Custom embroidery,Mostly consumers,Stitch-count based,Annually,2,1,1,1,1,1,1,0,1,1,3,2,2,1,2,10,Partial Pricing System,False,False,False,True
PD-2026-0406,NNEP-R0406,contact@urbandecoratedgoodsgro.example,emh_191107ff8c,R_PD_000375,2026-06-09T06:49:57Z,Urban Decorated Goods Group #1406,South,2-5 employees,2-5 employees,$100k-$250k,11,11-20,2,Decorated apparel,Schools/teams,Cost-plus,When costs change,2,2,1,1,2,1,2,1,2,1,4,2,3,3,3,15,Partial Pricing System,True,False,False,False
PD-2026-0407,NNEP-R0407,sales@northstarneedleworks14.example,emh_545a86bf16,R_PD_000376,2026-05-29T08:06:14Z,North Star Needleworks #1407,Northeast,6-10 employees,6-10 employees,$100k-$250k,22,21+,3,Contract embroidery,Mixed,Hybrid/job costing,When costs change,1,1,2,2,2,1,1,1,2,2,2,4,3,2,4,15,Partial Pricing System,True,False,False,False
PD-2026-0408,NNEP-R0408,sales@luckycreativegroup1408.example,emh_8851ecb919,R_PD_000377,2026-03-31T07:38:32Z,Lucky Creative Group #1408,South,2-5 employees,2-5 employees,$250k-$500k,23,21+,6,Custom embroidery,Mixed,Stitch-count based,Rarely/never,2,1,1,1,1,1,1,1,1,2,3,2,2,2,3,12,Partial Pricing System,False,False,False,False
PD-2026-0409,NNEP-R0409,owner3@redbarndesignsllc1409.example,emh_d5d3930098,R_PD_000378,2026-03-14T23:42:01Z,Red Barn Designs LLC #1409,Midwest,Solo owner/operator,Solo owner/operator,$100k-$250k,6,6-10,1,Custom embroidery,Small business/local orgs,Competitor-based,When costs change,1,1,1,1,1,1,0,0,1,1,2,2,2,0,2,8,Partial Pricing System,False,False,False,True
PD-2026-0410,NNEP-R0410,info@magnolialogoshopgroup1.example,emh_e705074656,R_PD_000379,2026-02-16T16:08:11Z,Magnolia Logo Shop Group #1410,South,2-5 employees,2-5 employees,$1M+,13,11-20,2,Team/school spiritwear,Contract/B2B,Hybrid/job costing,When costs change,1,2,1,2,1,1,1,1,1,1,3,3,2,2,2,12,Partial Pricing System,True,False,False,False
PD-2026-0411,NNEP-R0411,info5@blueridgecreativecompa.example,emh_42960ae42d,R_PD_000380,2026-05-23T01:23:31Z,Blue Ridge Creative Company #1411,Northeast,2-5 employees,2-5 employees,$1M+,3,2-5,1,Decorated apparel,Small business/local orgs,Stitch-count based,Annually,2,1,1,1,0,1,1,1,1,2,3,2,1,2,3,11,Partial Pricing System,False,False,True,False
PD-2026-0412,NNEP-R0412,info@blueridgedecoratedgood.example,emh_d00fdbc5d7,R_PD_000381,2026-03-19T17:34:06Z,Blue Ridge Decorated Goods Collective #1412,Northeast,Solo owner/operator,Solo owner/operator,$50k-$100k,4,2-5,3,Contract embroidery,Schools/teams,Informal/custom quote,When costs change,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,Pricing Blind Spots,False,True,True,True
PD-2026-0414,NNEP-R0414,owner@mainstreetcustomscompa.example,emh_3faaa4f2e8,R_PD_000382,2026-04-13T11:49:18Z,Main Street Customs Company #1414,South,2-5 employees,2-5 employees,$100k-$250k,5,2-5,2,Custom embroidery,Small business/local orgs,Cost-plus,Rarely/never,1,1,1,0,1,1,0,1,1,1,2,1,2,1,2,8,Partial Pricing System,True,True,False,True
PD-2026-0415,NNEP-R0415,office@cedarcustomscollective.example,emh_6903a3c879,R_PD_000383,2026-04-21T02:23:20Z,Cedar Customs Collective #1415,Midwest,11-25 employees,11-25 employees,$1M+,17,11-20,15,Custom embroidery,Contract/B2B,Hybrid/job costing,Quarterly,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,20,Strong Pricing System,True,False,False,False
PD-2026-0416,NNEP-R0416,quotes@redbarnlogoshopcompany.example,emh_f1b3b50077,R_PD_000384,2026-03-19T12:39:20Z,Red Barn Logo Shop Company #1416,South,Solo owner/operator,Solo owner/operator,$250k-$500k,13,11-20,2,Mixed services,Small business/local orgs,Cost-plus,Annually,2,2,1,1,2,1,2,2,2,2,4,2,3,4,4,17,Strong Pricing System,True,False,False,False
PD-2026-0417,NNEP-R0417,info@redbarnapparelstudio14.example,emh_5ecfd866b6,R_PD_000385,2026-02-17T04:11:44Z,Red Barn Apparel Studio #1417,Midwest,2-5 employees,2-5 employees,$500k-$1M,21,21+,3,Contract embroidery,Mostly consumers,Hybrid/job costing,When costs change,2,2,1,2,1,1,1,2,1,2,4,3,2,3,3,15,Partial Pricing System,True,False,False,False
PD-2026-0418,NNEP-R0418,sales@willowlogoshopgroup141.example,emh_50779ca1aa,R_PD_000386,2026-04-14T06:03:23Z,Willow Logo Shop Group #1418,Northeast,2-5 employees,2-5 employees,$500k-$1M,12,11-20,5,Decorated apparel,Small business/local orgs,Stitch-count based,Quarterly,2,1,1,1,1,0,1,1,1,1,3,2,1,2,2,10,Partial Pricing System,False,False,True,False
PD-2026-0419,NNEP-R0419,office6@sunriseprintstitchcoll.example,emh_ac18e98548,R_PD_000387,2026-03-17T23:29:37Z,Sunrise Print & Stitch Collective #1419,South,Solo owner/operator,Solo owner/operator,$100k-$250k,3,2-5,1,Decorated apparel,Corporate/commercial,Stitch-count based,Rarely/never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True
PD-2026-0420,NNEP-R0420,quotes@prairiebrandingcollect.example,emh_9050c61627,R_PD_000388,2026-06-07T07:53:09Z,Prairie Branding Collective #1420,Midwest,Solo owner/operator,Solo owner/operator,$500k-$1M,10,6-10,1,Mixed services,Mostly consumers,Hybrid/job costing,Rarely/never,1,0,1,1,0,0,0,1,0,1,1,2,0,1,1,5,Pricing Blind Spots,True,False,True,True
PD-2026-0421,NNEP-R0421,sales@bobbinneedleworks1421.example,emh_1683918380,R_PD_000389,2026-04-06T07:24:00Z,Bobbin Needleworks #1421,West,6-10 employees,6-10 employees,$500k-$1M,20,11-20,8,Mixed services,Small business/local orgs,Stitch-count based,Quarterly,2,2,2,2,1,2,2,2,2,2,4,4,3,4,4,19,Strong Pricing System,True,False,False,False
PD-2026-0422,NNEP-R0422,sales@magnoliabrandingshop14.example,emh_ac8fa243e6,R_PD_000390,2026-05-29T06:38:25Z,Magnolia Branding Shop #1422,South,11-25 employees,11-25 employees,$250k-$500k,19,11-20,8,Custom embroidery,Mostly consumers,Hybrid/job costing,Annually,1,2,2,2,2,2,2,1,2,2,3,4,4,3,4,18,Strong Pricing System,True,False,False,False
